,iterator_record,time_record,temp_record_CPU,temp_record_GPU,cpu_record,processing_duration_record,pause_duration_record,loop_duration_record,net_record,avg_accuracy_record
0,0,0.0,79.854,80.8,0.0,0.0,0,0.0,4,0.739
1,0,1.846084,56.478,56.4,1.1,1.846084,0,0.0,4,0.739
2,1,1.884047,56.478,55.5,26.7,1.846084,0,1.884047,4,0.739
3,1,3.642822,59.4,59.4,90.4,1.758775,0,1.884047,4,0.739
4,2,3.6802069999999993,59.4,58.4,26.7,1.758775,0,1.79616,4,0.739
5,2,5.438166999999999,61.348,61.3,90.4,1.75796,0,1.79616,4,0.739
6,3,5.475687999999999,61.348,60.3,21.4,1.75796,0,1.795481,4,0.739
7,3,7.237094999999999,63.783,61.3,90.4,1.761407,0,1.795481,4,0.739
8,4,7.274495,61.348,62.8,26.7,1.761407,0,1.798807,4,0.739
9,4,9.034843,64.757,62.8,90.4,1.760348,0,1.798807,4,0.739
10,5,9.072299,62.809,63.3,26.7,1.760348,0,1.797804,4,0.739
11,5,10.832564999999999,64.27,63.3,90.3,1.760266,0,1.797804,4,0.739
12,6,10.869907,64.757,63.7,26.7,1.760266,0,1.797608,4,0.739
13,6,12.635697,65.731,65.7,90.2,1.76579,0,1.797608,4,0.739
14,7,12.680107,65.731,64.7,31.6,1.76579,0,1.8102,4,0.739
15,7,14.444682,67.679,65.2,90.1,1.764575,0,1.8102,4,0.739
16,8,14.488688,65.244,65.7,23.5,1.764575,0,1.808581,4,0.739
17,8,16.254441,67.192,67.2,90.4,1.765753,0,1.808581,4,0.739
18,9,16.298352,67.192,66.2,23.5,1.765753,0,1.809664,4,0.739
19,9,18.112143,68.653,67.6,89.7,1.813791,0,1.809664,4,0.739
20,10,18.158208000000002,66.218,66.7,27.8,1.813791,0,1.859856,4,0.739
21,10,19.974258000000003,68.166,67.6,89.8,1.81605,0,1.859856,4,0.739
22,11,20.018077,67.192,67.6,23.5,1.81605,0,1.859869,4,0.739
23,11,21.777961,69.627,68.6,90.5,1.759884,0,1.859869,4,0.739
24,12,21.821800000000003,68.653,68.1,31.6,1.759884,0,1.803723,4,0.739
25,12,23.582342000000004,70.114,69.1,90.3,1.760542,0,1.803723,4,0.739
26,13,23.626115000000002,69.14,68.1,29.4,1.760542,0,1.804315,4,0.739
27,13,25.389306,70.601,69.6,90.4,1.763191,0,1.804315,4,0.739
28,14,25.433325000000004,69.627,68.6,23.5,1.763191,0,1.80721,4,0.739
29,14,27.216747000000005,71.088,70.1,89.8,1.783422,0,1.80721,4,0.739
30,15,27.262336000000005,70.114,68.6,35.0,1.783422,0,1.829011,4,0.739
31,15,29.077937000000006,71.088,71.1,89.8,1.815601,0,1.829011,4,0.739
32,16,29.122127000000006,71.088,69.1,29.4,1.815601,0,1.859791,4,0.739
33,16,30.941657000000006,71.088,70.6,89.9,1.81953,0,1.859791,4,0.739
34,17,30.98545200000001,70.601,69.6,27.8,1.81953,0,1.863325,4,0.739
35,17,32.81303600000001,70.601,71.5,90.0,1.827584,0,1.863325,4,0.739
36,18,32.857155000000006,71.575,70.6,31.6,1.827584,0,1.871703,4,0.739
37,18,34.663757000000004,72.062,71.5,89.9,1.806602,0,1.871703,4,0.739
38,19,34.707725,71.575,72.0,31.6,1.806602,0,1.85057,4,0.739
39,19,36.479914,72.062,71.5,90.2,1.772189,0,1.85057,4,0.739
40,20,36.524011,71.088,72.0,23.5,1.772189,0,1.816286,4,0.739
41,20,38.330091,73.523,72.5,90.0,1.80608,0,1.816286,4,0.739
42,21,38.373881000000004,72.549,70.6,31.6,1.80608,0,1.84987,4,0.739
43,21,40.139131000000006,74.01,73.0,90.5,1.76525,0,1.84987,4,0.739
44,22,40.18437600000001,73.036,71.5,27.8,1.76525,0,1.810495,4,0.739
45,22,41.960935000000006,74.984,72.0,89.8,1.776559,0,1.810495,4,0.739
46,23,42.00491900000001,72.062,72.0,27.8,1.776559,0,1.820543,4,0.739
47,23,43.77171100000001,74.497,73.0,90.3,1.766792,0,1.820543,4,0.739
48,24,43.81584800000001,73.036,73.5,23.5,1.766792,0,1.810929,4,0.739
49,24,45.58200500000001,74.01,74.5,90.2,1.766157,0,1.810929,4,0.739
50,25,45.62609200000001,74.497,72.5,25.0,1.766157,0,1.810244,4,0.739
51,25,47.542879000000006,74.497,74.5,92.5,1.916787,0,1.810244,4,0.739
52,26,47.590793000000005,74.497,73.5,31.6,1.916787,0,1.964701,4,0.739
53,26,49.406726000000006,75.471,75.0,89.9,1.815933,0,1.964701,3,0.739
54,27,49.451568,74.984,74.0,27.8,1.815933,0,1.860775,3,0.739
55,27,50.240242,75.471,74.0,83.1,0.788674,0,1.860775,3,0.739
56,28,50.28379,74.01,72.0,27.8,0.788674,0,0.832222,3,0.7348199999999999
57,28,51.074432,74.497,73.5,82.9,0.790642,0,0.832222,4,0.7348199999999999
58,29,51.118573000000005,74.01,74.5,27.8,0.790642,0,0.834783,4,0.73064
59,29,52.884524000000006,74.984,75.4,90.2,1.765951,0,0.834783,4,0.73064
60,30,52.928324,74.497,75.0,31.6,1.765951,0,1.809751,4,0.73064
61,30,54.75258,75.471,74.0,89.4,1.824256,0,1.809751,3,0.73064
62,31,54.800639000000004,74.01,74.0,23.5,1.824256,0,1.872315,3,0.73064
63,31,55.592641,74.984,74.0,83.1,0.792002,0,1.872315,4,0.73064
64,32,55.636351000000005,74.01,74.5,23.5,0.792002,0,0.835712,4,0.72646
65,32,57.409189000000005,76.445,75.4,90.3,1.772838,0,0.835712,3,0.72646
66,33,57.45306600000001,75.471,75.0,23.5,1.772838,0,1.816715,3,0.73064
67,33,58.24558400000001,75.958,75.0,82.9,0.792518,0,1.816715,3,0.73064
68,34,58.289407000000004,74.984,74.5,29.4,0.792518,0,0.836341,3,0.73064
69,34,59.071578,75.471,74.5,83.3,0.782171,0,0.836341,3,0.73064
70,35,59.115502000000006,74.497,75.0,23.5,0.782171,0,0.826095,3,0.72646
71,35,59.90256800000001,76.445,75.4,82.9,0.787066,0,0.826095,3,0.72646
