,iterator_record,time_record,temp_record_CPU,temp_record_GPU,cpu_record,processing_duration_record,pause_duration_record,loop_duration_record,net_record,avg_accuracy_record
0,0,0.0,67.192,66.7,0.0,0.0,2.0,0.0,efficientdet_lite4_detection_metadata_2,41.96
1,0,4.083396,53.069,53.0,0.5,4.083396,2.0,0.0,efficientdet_lite4_detection_metadata_2,41.96
2,1,6.135348,52.582,52.5,0.7,4.083396,2.0,6.135348,efficientdet_lite4_detection_metadata_2,41.96
3,1,10.163218,55.017,54.5,25.5,4.02787,2.0,6.135348,efficientdet_lite4_detection_metadata_2,41.96
4,2,12.215454999999999,53.556,53.0,0.7,4.02787,2.0,6.080107,efficientdet_lite4_detection_metadata_2,41.96
5,2,16.247107999999997,55.017,56.0,25.5,4.031653,2.0,6.080107,efficientdet_lite4_detection_metadata_2,41.96
6,3,18.299146,54.53,54.5,0.5,4.031653,2.0,6.083691,efficientdet_lite4_detection_metadata_2,41.96
7,3,22.333413,56.478,55.5,25.9,4.034267,2.0,6.083691,efficientdet_lite4_detection_metadata_2,41.96
8,4,24.385368,55.991,54.5,0.6,4.034267,2.0,6.086222,efficientdet_lite4_detection_metadata_2,41.96
9,4,28.407015,56.965,55.5,25.8,4.021647,2.0,6.086222,efficientdet_lite4_detection_metadata_2,41.96
10,5,30.459345999999996,54.53,55.5,0.6,4.021647,2.0,6.073978,efficientdet_lite4_detection_metadata_2,41.96
11,5,34.535928,56.478,56.4,26.0,4.076582,2.0,6.073978,efficientdet_lite4_detection_metadata_2,41.96
12,6,36.589090999999996,55.504,56.0,0.7,4.076582,2.0,6.129745,efficientdet_lite4_detection_metadata_2,41.96
13,6,40.607946,57.939,57.9,25.6,4.018855,2.0,6.129745,efficientdet_lite4_detection_metadata_2,41.96
14,7,42.660442999999994,56.478,56.0,0.7,4.018855,2.0,6.071352,efficientdet_lite4_detection_metadata_2,41.96
15,7,46.693723999999996,56.965,57.9,25.4,4.033281,2.0,6.071352,efficientdet_lite4_detection_metadata_2,41.96
