,iterator_record,time_record,temp_record_CPU,temp_record_GPU,cpu_record,processing_duration_record,pause_duration_record,loop_duration_record,net_record,avg_accuracy_record
0,0,0.0,61.835,61.3,0.0,0.0,0.0,0.0,efficientdet_lite2_detection_metadata_1,41.96
1,0,0.92592,52.095,52.1,0.5,0.92592,0.0,0.0,efficientdet_lite2_detection_metadata_1,41.96
2,1,0.9758399999999999,52.095,52.1,25.0,0.92592,0.0,0.97584,efficientdet_lite2_detection_metadata_1,41.96
3,1,1.846393,52.582,52.5,26.6,0.870553,0.0,0.97584,efficientdet_lite2_detection_metadata_1,41.96
4,2,1.8964209999999997,53.556,52.5,22.2,0.870553,0.0,0.920581,efficientdet_lite2_detection_metadata_1,41.96
5,2,2.7741249999999997,52.095,53.0,25.3,0.877704,0.0,0.920581,efficientdet_lite2_detection_metadata_1,41.96
6,3,2.823921,53.069,54.0,26.3,0.877704,0.0,0.9275,efficientdet_lite2_detection_metadata_1,41.96
7,3,3.7048259999999997,53.556,54.5,26.1,0.880905,0.0,0.9275,efficientdet_lite2_detection_metadata_1,41.96
8,4,3.7547439999999996,53.069,53.5,25.0,0.880905,0.0,0.930823,efficientdet_lite2_detection_metadata_1,41.96
9,4,4.6208659999999995,53.556,53.5,25.7,0.866122,0.0,0.930823,efficientdet_lite2_detection_metadata_1,41.96
10,5,4.670672,53.556,53.5,26.3,0.866122,0.0,0.915928,efficientdet_lite2_detection_metadata_1,41.96
11,5,5.5582709999999995,54.043,52.5,25.9,0.887599,0.0,0.915928,efficientdet_lite2_detection_metadata_1,41.96
12,6,5.608504,52.582,53.5,25.0,0.887599,0.0,0.937832,efficientdet_lite2_detection_metadata_1,33.97
13,6,6.4784489999999995,54.53,54.5,25.6,0.869945,0.0,0.937832,efficientdet_lite2_detection_metadata_1,33.97
14,7,6.528269,54.53,54.5,30.0,0.869945,0.0,0.919765,efficientdet_lite2_detection_metadata_1,33.97
15,7,7.398681,54.53,55.0,25.8,0.870412,0.0,0.919765,efficientdet_lite2_detection_metadata_1,33.97
16,8,7.448684999999999,55.017,54.5,22.2,0.870412,0.0,0.920416,efficientdet_lite2_detection_metadata_1,33.97
17,8,8.320096999999999,55.504,55.5,26.0,0.871412,0.0,0.920416,efficientdet_lite2_detection_metadata_1,33.97
18,9,8.369765999999998,54.53,54.5,26.3,0.871412,0.0,0.921081,efficientdet_lite2_detection_metadata_1,33.97
19,9,9.241100999999999,55.991,54.5,25.8,0.871335,0.0,0.921081,efficientdet_lite2_detection_metadata_1,33.97
20,10,9.291159999999998,54.53,54.0,30.0,0.871335,0.0,0.921394,efficientdet_lite2_detection_metadata_1,33.97
21,10,10.202419999999998,55.504,55.5,26.0,0.91126,0.0,0.921394,efficientdet_lite2_detection_metadata_1,33.97
22,11,10.252428999999998,55.504,55.0,23.8,0.91126,0.0,0.961269,efficientdet_lite2_detection_metadata_1,33.97
23,11,11.132914999999997,55.017,55.5,26.3,0.880486,0.0,0.961269,efficientdet_lite2_detection_metadata_1,33.97
24,12,11.183139999999998,55.504,55.0,25.0,0.880486,0.0,0.930711,efficientdet_lite2_detection_metadata_1,33.97
25,12,12.059590999999998,55.991,56.0,25.7,0.876451,0.0,0.930711,efficientdet_lite2_detection_metadata_1,33.97
26,13,12.109700999999998,55.991,55.5,25.0,0.876451,0.0,0.926561,efficientdet_lite2_detection_metadata_1,33.97
27,13,12.981926999999997,55.991,56.4,26.2,0.872226,0.0,0.926561,efficientdet_lite2_detection_metadata_1,33.97
28,14,13.032210999999998,56.478,55.5,26.3,0.872226,0.0,0.92251,efficientdet_lite2_detection_metadata_1,33.97
29,14,13.898088999999999,56.478,56.4,25.7,0.865878,0.0,0.92251,efficientdet_lite2_detection_metadata_1,33.97
30,15,13.948481,56.478,56.9,30.0,0.865878,0.0,0.91627,efficientdet_lite2_detection_metadata_1,33.97
31,15,14.816588999999999,55.991,56.9,25.5,0.868108,0.0,0.91627,efficientdet_lite2_detection_metadata_1,33.97
32,16,14.866961,56.965,56.4,28.6,0.868108,0.0,0.91848,efficientdet_lite2_detection_metadata_1,33.97
33,16,15.73132,56.965,56.0,25.8,0.864359,0.0,0.91848,efficientdet_lite2_detection_metadata_1,33.97
34,17,15.781431000000001,55.991,56.0,33.3,0.864359,0.0,0.91447,efficientdet_lite2_detection_metadata_1,33.97
35,17,16.653036,56.965,56.0,25.6,0.871605,0.0,0.91447,efficientdet_lite2_detection_metadata_1,33.97
36,18,16.703068000000002,55.991,56.0,28.6,0.871605,0.0,0.921637,efficientdet_lite2_detection_metadata_1,33.97
37,18,17.572850000000003,56.965,56.9,25.9,0.869782,0.0,0.921637,efficientdet_lite2_detection_metadata_1,33.97
38,19,17.622877000000003,56.965,57.4,25.0,0.869782,0.0,0.919809,efficientdet_lite2_detection_metadata_1,33.97
39,19,18.501726,55.991,56.9,25.9,0.878849,0.0,0.919809,efficientdet_lite2_detection_metadata_1,33.97
40,20,18.551726000000002,56.965,56.4,28.6,0.878849,0.0,0.928849,efficientdet_lite2_detection_metadata_1,33.97
41,20,19.427503,56.478,56.0,26.0,0.875777,0.0,0.928849,efficientdet_lite2_detection_metadata_1,33.97
42,21,19.477576000000003,55.991,56.0,21.1,0.875777,0.0,0.92585,efficientdet_lite2_detection_metadata_1,33.97
43,21,20.342750000000002,55.504,56.9,26.0,0.865174,0.0,0.92585,efficientdet_lite2_detection_metadata_1,33.97
44,22,20.392915000000002,56.965,57.4,26.3,0.865174,0.0,0.915339,efficientdet_lite2_detection_metadata_1,33.97
45,22,21.261975000000003,55.504,56.9,26.4,0.86906,0.0,0.915339,efficientdet_lite2_detection_metadata_1,33.97
46,23,21.315762000000003,56.965,56.0,28.6,0.86906,0.0,0.922847,efficientdet_lite2_detection_metadata_1,33.97
47,23,22.186391000000004,55.504,57.9,25.9,0.870629,0.0,0.922847,efficientdet_lite2_detection_metadata_1,33.97
48,24,22.240879000000003,57.939,57.4,25.0,0.870629,0.0,0.925117,efficientdet_lite2_detection_metadata_1,33.97
49,24,23.121155,56.478,56.4,25.3,0.880276,0.0,0.925117,efficientdet_lite2_detection_metadata_1,33.97
50,25,23.174638,56.478,56.4,36.4,0.880276,0.0,0.933759,efficientdet_lite2_detection_metadata_1,33.97
51,25,24.04362,56.965,55.5,25.7,0.868982,0.0,0.933759,efficientdet_lite2_detection_metadata_1,33.97
52,26,24.093656000000003,55.504,56.9,39.1,0.868982,0.0,0.919018,efficientdet_lite2_detection_metadata_1,33.97
53,26,24.973617000000004,55.991,56.4,25.6,0.879961,0.0,0.919018,efficientdet_lite2_detection_metadata_1,33.97
54,27,25.023562000000002,56.478,56.4,27.3,0.879961,0.0,0.929906,efficientdet_lite2_detection_metadata_1,33.97
55,27,25.900062000000002,55.991,56.0,25.7,0.8765,0.0,0.929906,efficientdet_lite2_detection_metadata_1,33.97
56,28,25.950185,55.991,56.9,25.0,0.8765,0.0,0.926623,efficientdet_lite2_detection_metadata_1,33.97
57,28,26.821868000000002,55.991,56.0,26.4,0.871683,0.0,0.926623,efficientdet_lite2_detection_metadata_1,33.97
58,29,26.872028,56.965,56.0,26.3,0.871683,0.0,0.921843,efficientdet_lite2_detection_metadata_1,33.97
59,29,27.739785,56.478,56.9,25.9,0.867757,0.0,0.921843,efficientdet_lite2_detection_metadata_1,33.97
60,30,27.78989,56.965,56.9,30.0,0.867757,0.0,0.917862,efficientdet_lite2_detection_metadata_1,33.97
61,30,28.664372,56.965,56.9,25.5,0.874482,0.0,0.917862,efficientdet_lite2_detection_metadata_1,33.97
62,31,28.714808,56.965,56.9,31.8,0.874482,0.0,0.924918,efficientdet_lite2_detection_metadata_1,33.97
63,31,29.578373000000003,57.452,56.4,25.6,0.863565,0.0,0.924918,efficientdet_lite2_detection_metadata_1,33.97
64,32,29.628512,56.478,56.9,28.6,0.863565,0.0,0.913704,efficientdet_lite2_detection_metadata_1,33.97
65,32,30.499861,56.965,56.4,25.6,0.871349,0.0,0.913704,efficientdet_lite2_detection_metadata_1,33.97
66,33,30.550023,56.478,56.0,26.3,0.871349,0.0,0.921511,efficientdet_lite2_detection_metadata_1,33.97
67,33,31.425663,56.965,56.9,26.1,0.87564,0.0,0.921511,efficientdet_lite2_detection_metadata_1,33.97
68,34,31.475806000000002,56.965,56.9,23.8,0.87564,0.0,0.925783,efficientdet_lite2_detection_metadata_1,33.97
69,34,32.350832000000004,56.478,56.4,26.0,0.875026,0.0,0.925783,efficientdet_lite2_detection_metadata_1,33.97
70,35,32.40092500000001,56.478,56.4,21.1,0.875026,0.0,0.925119,efficientdet_lite2_detection_metadata_1,33.97
71,35,33.27011300000001,56.478,57.9,26.1,0.869188,0.0,0.925119,efficientdet_lite2_detection_metadata_1,33.97
72,36,33.32048100000001,57.939,56.9,26.3,0.869188,0.0,0.919556,efficientdet_lite2_detection_metadata_1,33.97
73,36,34.18137500000001,56.965,57.4,25.8,0.860894,0.0,0.919556,efficientdet_lite2_detection_metadata_1,33.97
74,37,34.23139300000001,57.452,56.9,28.6,0.860894,0.0,0.910912,efficientdet_lite2_detection_metadata_1,33.97
75,37,35.09653200000001,58.426,56.9,25.8,0.865139,0.0,0.910912,efficientdet_lite2_detection_metadata_1,33.97
76,38,35.14659600000001,56.965,57.4,28.6,0.865139,0.0,0.915203,efficientdet_lite2_detection_metadata_1,33.97
77,38,36.01920600000001,56.965,56.9,26.0,0.87261,0.0,0.915203,efficientdet_lite2_detection_metadata_1,33.97
78,39,36.06960900000001,56.965,57.4,26.3,0.87261,0.0,0.923013,efficientdet_lite2_detection_metadata_1,33.97
79,39,36.944821000000005,57.452,57.4,25.5,0.875212,0.0,0.923013,efficientdet_lite2_detection_metadata_1,33.97
80,40,36.994732000000006,57.452,57.9,30.0,0.875212,0.0,0.925123,efficientdet_lite2_detection_metadata_1,33.97
81,40,37.86554600000001,58.426,57.9,25.6,0.870814,0.0,0.925123,efficientdet_lite2_detection_metadata_1,33.97
82,41,37.915439000000006,57.939,57.9,25.0,0.870814,0.0,0.920707,efficientdet_lite2_detection_metadata_1,33.97
83,41,38.79886400000001,58.426,56.9,25.7,0.883425,0.0,0.920707,efficientdet_lite2_detection_metadata_1,33.97
84,42,38.849002000000006,56.965,57.4,26.3,0.883425,0.0,0.933563,efficientdet_lite2_detection_metadata_1,33.97
85,42,39.732504000000006,58.426,58.9,29.9,0.883502,0.0,0.933563,efficientdet_lite2_detection_metadata_1,33.97
86,43,39.785242000000004,58.913,56.9,50.0,0.883502,0.0,0.93624,efficientdet_lite2_detection_metadata_1,33.97
87,43,40.657125,58.426,57.4,25.8,0.871883,0.0,0.93624,efficientdet_lite2_detection_metadata_1,33.97
88,44,40.707221000000004,57.452,57.9,30.0,0.871883,0.0,0.921979,efficientdet_lite2_detection_metadata_1,33.97
89,44,41.585784000000004,57.939,57.4,25.8,0.878563,0.0,0.921979,efficientdet_lite2_detection_metadata_1,33.97
90,45,41.63598400000001,57.452,57.9,26.3,0.878563,0.0,0.928763,efficientdet_lite2_detection_metadata_1,33.97
91,45,42.51888300000001,58.426,57.4,25.7,0.882899,0.0,0.928763,efficientdet_lite2_detection_metadata_1,33.97
92,46,42.56901500000001,57.452,57.9,25.0,0.882899,0.0,0.933031,efficientdet_lite2_detection_metadata_1,33.97
93,46,43.43553200000001,58.913,57.4,26.0,0.866517,0.0,0.933031,efficientdet_lite2_detection_metadata_1,33.97
94,47,43.48569500000001,57.452,57.4,30.0,0.866517,0.0,0.91668,efficientdet_lite2_detection_metadata_1,33.97
95,47,44.352889000000005,57.939,57.9,25.9,0.867194,0.0,0.91668,efficientdet_lite2_detection_metadata_1,33.97
96,48,44.403006000000005,57.939,57.4,26.3,0.867194,0.0,0.917311,efficientdet_lite2_detection_metadata_1,33.97
97,48,45.272760000000005,58.426,57.4,25.6,0.869754,0.0,0.917311,efficientdet_lite2_detection_metadata_1,33.97
98,49,45.32304500000001,57.452,58.4,26.3,0.869754,0.0,0.920039,efficientdet_lite2_detection_metadata_1,33.97
99,49,46.200553000000006,58.426,57.9,25.9,0.877508,0.0,0.920039,efficientdet_lite2_detection_metadata_1,33.97
100,50,46.250682000000005,57.939,57.9,28.6,0.877508,0.0,0.927637,efficientdet_lite2_detection_metadata_1,33.97
101,50,47.124,58.913,57.4,25.8,0.873318,0.0,0.927637,efficientdet_lite2_detection_metadata_1,33.97
102,51,47.174272,57.452,57.9,26.3,0.873318,0.0,0.92359,efficientdet_lite2_detection_metadata_1,33.97
103,51,48.047571000000005,58.426,57.4,25.9,0.873299,0.0,0.92359,efficientdet_lite2_detection_metadata_1,33.97
104,52,48.097734,57.452,57.4,22.2,0.873299,0.0,0.923462,efficientdet_lite2_detection_metadata_1,33.97
