,avg_accuracy_record,cpu_record,iterator_record,loop_duration_record,net_record,pause_duration_record,processing_duration_record,temp_record_CPU,time_record
0,41.96,0.0,0,0.0,efficientdet_lite4_detection_metadata_2,0.5,0.0,50.0,0.0
1,41.96,30.7,0,0.0,efficientdet_lite4_detection_metadata_2,0.5,4.134407,50.0,4.134407
2,41.96,0.0,1,4.135221,efficientdet_lite4_detection_metadata_2,0.0,4.134407,50.0,4.1352210000000005
3,41.96,30.5,1,4.135221,efficientdet_lite4_detection_metadata_2,0.0,4.127023,50.0,8.262244
4,41.96,0.0,2,4.127775,efficientdet_lite4_detection_metadata_2,0.0,4.127023,50.0,8.262996000000001
5,41.96,28.2,2,4.127775,efficientdet_lite4_detection_metadata_2,0.0,4.131951,50.0,12.394947000000002
6,41.96,0.0,3,4.132709,efficientdet_lite4_detection_metadata_2,0.0,4.131951,50.0,12.395705
7,41.96,29.8,3,4.132709,efficientdet_lite4_detection_metadata_2,0.0,4.12644,50.0,16.522145
8,41.96,0.0,4,4.12719,efficientdet_lite4_detection_metadata_2,0.0,4.12644,50.0,16.522895
9,41.96,30.3,4,4.12719,efficientdet_lite4_detection_metadata_2,0.0,4.136881,50.5,20.659775999999997
10,41.96,0.0,5,4.137626,efficientdet_lite4_detection_metadata_2,0.0,4.136881,50.5,20.660521
11,41.96,29.9,5,4.137626,efficientdet_lite4_detection_metadata_2,0.0,4.124945,49.5,24.785466
12,41.96,0.0,6,4.126161,efficientdet_lite4_detection_metadata_2,0.0,4.124945,49.5,24.786682
13,41.96,29.7,6,4.126161,efficientdet_lite4_detection_metadata_2,0.0,4.121607,50.0,28.908289
14,41.96,0.0,7,4.122823,efficientdet_lite4_detection_metadata_2,0.0,4.121607,50.0,28.909505
15,41.96,30.7,7,4.122823,efficientdet_lite4_detection_metadata_2,0.0,4.129937,50.0,33.039442
16,41.96,0.0,8,4.131144,efficientdet_lite4_detection_metadata_2,0.0,4.129937,50.0,33.040649
17,41.96,29.7,8,4.131144,efficientdet_lite4_detection_metadata_2,0.0,4.123097,50.0,37.163746
18,41.96,0.0,9,4.124304,efficientdet_lite4_detection_metadata_2,0.0,4.123097,50.0,37.164953000000004
19,41.96,29.8,9,4.124304,efficientdet_lite4_detection_metadata_2,0.0,4.123676,50.0,41.288629
20,41.96,0.0,10,4.124965,efficientdet_lite4_detection_metadata_2,0.0,4.123676,50.0,41.289918
21,41.96,30.2,10,4.124965,efficientdet_lite4_detection_metadata_2,0.0,4.136532,50.0,45.42645
22,41.96,0.0,11,4.137735,efficientdet_lite4_detection_metadata_2,0.0,4.136532,50.0,45.427653
23,41.96,29.0,11,4.137735,efficientdet_lite4_detection_metadata_2,0.0,4.137624,50.5,49.565277
24,41.96,0.0,12,4.138841,efficientdet_lite4_detection_metadata_2,0.0,4.137624,50.5,49.566494
25,41.96,29.5,12,4.138841,efficientdet_lite4_detection_metadata_2,0.0,4.125581,50.0,53.692075
26,41.96,0.0,13,4.126818,efficientdet_lite4_detection_metadata_2,0.0,4.125581,50.0,53.693312000000006
27,41.96,29.8,13,4.126818,efficientdet_lite4_detection_metadata_2,0.0,4.125898,50.0,57.819210000000005
28,41.96,0.0,14,4.127171,efficientdet_lite4_detection_metadata_2,0.0,4.125898,50.0,57.820483
29,41.96,29.7,14,4.127171,efficientdet_lite4_detection_metadata_2,0.0,4.121385,50.0,61.941868
30,41.96,0.0,15,4.122655,efficientdet_lite4_detection_metadata_2,0.0,4.121385,50.0,61.94313799999999
31,41.96,30.3,15,4.122655,efficientdet_lite4_detection_metadata_2,0.0,4.137749,50.0,66.08088699999999
32,41.96,0.0,16,4.138965,efficientdet_lite4_detection_metadata_2,0.0,4.137749,50.0,66.08210299999999
33,41.96,30.3,16,4.138965,efficientdet_lite4_detection_metadata_2,0.0,4.126355,50.0,70.208458
34,41.96,100.0,17,4.127568,efficientdet_lite4_detection_metadata_2,0.0,4.126355,50.0,70.20967099999999
35,41.96,29.1,17,4.127568,efficientdet_lite4_detection_metadata_2,0.0,4.121405,50.0,74.33107599999998
36,41.96,0.0,18,4.122628,efficientdet_lite4_detection_metadata_2,0.0,4.121405,50.0,74.33229899999999
37,41.96,31.2,18,4.122628,efficientdet_lite4_detection_metadata_2,0.0,4.174418,52.0,78.506717
38,41.96,0.0,19,4.175638,efficientdet_lite4_detection_metadata_2,0.0,4.174418,52.0,78.507937
39,41.96,30.9,19,4.175638,efficientdet_lite4_detection_metadata_2,0.0,4.184913,52.0,82.69284999999999
40,41.96,0.0,20,4.186144,efficientdet_lite4_detection_metadata_2,0.0,4.184913,52.0,82.694081
41,41.96,28.8,20,4.186144,efficientdet_lite4_detection_metadata_2,0.0,4.169425,52.0,86.863506
42,41.96,0.0,21,4.17068,efficientdet_lite4_detection_metadata_2,0.0,4.169425,52.0,86.864761
43,41.96,29.7,21,4.17068,efficientdet_lite4_detection_metadata_2,0.0,4.174876,52.0,91.039637
44,41.96,0.0,22,4.176084,efficientdet_lite4_detection_metadata_2,0.0,4.174876,52.0,91.040845
45,41.96,29.7,22,4.176084,efficientdet_lite4_detection_metadata_2,0.0,4.170161,52.0,95.211006
46,41.96,0.0,23,4.171392,efficientdet_lite4_detection_metadata_2,0.0,4.170161,52.0,95.21223699999999
47,41.96,29.1,23,4.171392,efficientdet_lite4_detection_metadata_2,0.0,4.166752,52.0,99.37898899999999
48,41.96,0.0,24,4.167973,efficientdet_lite4_detection_metadata_2,0.0,4.166752,52.0,99.38020999999999
49,41.96,29.5,24,4.167973,efficientdet_lite4_detection_metadata_2,0.0,4.168687,52.0,103.548897
50,41.96,0.0,25,4.169981,efficientdet_lite4_detection_metadata_2,0.0,4.168687,52.0,103.55019099999998
51,41.96,29.6,25,4.169981,efficientdet_lite4_detection_metadata_2,0.0,4.161773,52.0,107.71196399999998
52,41.96,0.0,26,4.163054,efficientdet_lite4_detection_metadata_2,0.0,4.161773,52.0,107.71324499999999
53,41.96,29.0,26,4.163054,efficientdet_lite4_detection_metadata_2,0.0,4.178737,52.0,111.89198199999998
54,41.96,0.0,27,4.179987,efficientdet_lite4_detection_metadata_2,0.0,4.178737,52.0,111.89323199999998
55,41.96,29.7,27,4.179987,efficientdet_lite4_detection_metadata_2,0.0,4.16524,52.0,116.05847199999998
56,41.96,50.0,28,4.166503,efficientdet_lite4_detection_metadata_2,0.0,4.16524,52.0,116.05973499999999
57,41.96,29.6,28,4.166503,efficientdet_lite4_detection_metadata_2,0.0,4.169408,52.0,120.229143
58,41.96,0.0,29,4.170624,efficientdet_lite4_detection_metadata_2,0.0,4.169408,52.0,120.23035899999999
59,41.96,29.0,29,4.170624,efficientdet_lite4_detection_metadata_2,0.0,4.16154,52.0,124.391899
60,41.96,0.0,30,4.162757,efficientdet_lite4_detection_metadata_2,0.0,4.16154,52.0,124.39311599999999
61,41.96,29.5,30,4.162757,efficientdet_lite4_detection_metadata_2,0.0,4.165651,51.5,128.558767
62,41.96,0.0,31,4.16687,efficientdet_lite4_detection_metadata_2,0.0,4.165651,51.5,128.55998599999998
