,iterator_record,time_record,temp_record_CPU,temp_record_GPU,cpu_record,processing_duration_record,pause_duration_record,loop_duration_record,net_record,avg_accuracy_record
0,0,0.0,58.426,56.4,0.0,0.0,0.0,0.0,efficientdet_lite4_detection_metadata_2,41.96
1,0,1.42733,53.556,53.5,17.0,1.42733,0.0,0.0,efficientdet_lite4_detection_metadata_2,41.96
2,1,1.476019,53.556,54.5,22.2,1.42733,0.0,1.476019,efficientdet_lite4_detection_metadata_2,41.96
3,1,2.8708270000000002,55.504,56.4,85.0,1.394808,0.0,1.476019,efficientdet_lite4_detection_metadata_2,41.96
4,2,2.9195590000000005,56.478,56.0,26.3,1.394808,0.0,1.44354,efficientdet_lite4_detection_metadata_2,41.96
5,2,4.304196,58.426,57.9,85.1,1.384637,0.0,1.44354,efficientdet_lite4_detection_metadata_2,41.96
6,3,4.352962000000001,57.939,57.4,26.3,1.384637,0.0,1.433403,efficientdet_lite4_detection_metadata_2,41.96
7,3,5.729636000000001,58.913,58.4,85.8,1.376674,0.0,1.433403,efficientdet_lite4_detection_metadata_2,41.96
8,4,5.778587000000002,58.426,57.4,22.2,1.376674,0.0,1.425625,efficientdet_lite4_detection_metadata_2,41.96
9,4,7.133649000000002,59.887,59.4,85.6,1.355062,0.0,1.425625,efficientdet_lite4_detection_metadata_2,41.96
10,5,7.182403000000001,59.4,59.4,30.0,1.355062,0.0,1.403816,efficientdet_lite4_detection_metadata_2,41.96
11,5,8.601443000000002,60.861,59.9,83.6,1.41904,0.0,1.403816,efficientdet_lite4_detection_metadata_2,41.96
12,6,8.65136,59.887,60.8,25.0,1.41904,0.0,1.468957,efficientdet_lite4_detection_metadata_2,41.96
13,6,10.045954,59.887,61.8,84.7,1.394594,0.0,1.468957,efficientdet_lite4_detection_metadata_2,41.96
14,7,10.094661,61.835,60.8,26.3,1.394594,0.0,1.443301,efficientdet_lite4_detection_metadata_2,41.96
15,7,11.532227,61.348,60.8,84.5,1.437566,0.0,1.443301,efficientdet_lite4_detection_metadata_2,41.96
16,8,11.581100000000001,60.861,60.8,35.0,1.437566,0.0,1.486439,efficientdet_lite4_detection_metadata_2,41.96
17,8,12.967316,62.809,61.3,84.8,1.386216,0.0,1.486439,efficientdet_lite4_detection_metadata_2,41.96
18,9,13.016213,61.348,61.8,30.0,1.386216,0.0,1.435113,efficientdet_lite4_detection_metadata_2,41.96
19,9,14.399978,62.322,61.8,84.8,1.383765,0.0,1.435113,efficientdet_lite4_detection_metadata_2,41.96
20,10,14.448964,61.835,62.8,26.3,1.383765,0.0,1.432751,efficientdet_lite4_detection_metadata_2,41.96
21,10,15.838628,64.27,62.3,84.4,1.389664,0.0,1.432751,efficientdet_lite4_detection_metadata_2,41.96
22,11,15.888919999999999,62.322,62.3,28.6,1.389664,0.0,1.439956,efficientdet_lite4_detection_metadata_2,41.96
23,11,17.280116999999997,62.809,62.8,84.7,1.391197,0.0,1.439956,efficientdet_lite4_detection_metadata_2,41.96
24,12,17.329493999999997,62.809,62.8,30.0,1.391197,0.0,1.440574,efficientdet_lite4_detection_metadata_2,41.96
25,12,18.707009999999997,63.296,64.2,84.9,1.377516,0.0,1.440574,efficientdet_lite4_detection_metadata_2,41.96
26,13,18.756332999999998,64.27,63.7,26.3,1.377516,0.0,1.426839,efficientdet_lite4_detection_metadata_2,41.96
27,13,20.131092,63.783,63.7,85.6,1.374759,0.0,1.426839,efficientdet_lite4_detection_metadata_2,41.96
28,14,20.180135999999997,63.783,64.7,26.3,1.374759,0.0,1.423803,efficientdet_lite4_detection_metadata_2,41.96
29,14,21.536423999999997,64.27,63.7,86.0,1.356288,0.0,1.423803,efficientdet_lite4_detection_metadata_2,41.96
30,15,21.585539999999998,63.783,63.7,26.3,1.356288,0.0,1.405404,efficientdet_lite4_detection_metadata_2,41.96
31,15,22.961814999999998,64.757,65.2,85.1,1.376275,0.0,1.405404,efficientdet_lite4_detection_metadata_2,41.96
32,16,23.011219999999998,65.244,65.2,30.0,1.376275,0.0,1.42568,efficientdet_lite4_detection_metadata_2,41.96
33,16,24.374281999999997,65.244,64.7,85.5,1.363062,0.0,1.42568,efficientdet_lite4_detection_metadata_2,41.96
34,17,24.423410999999998,64.757,65.7,22.2,1.363062,0.0,1.412191,efficientdet_lite4_detection_metadata_2,41.96
35,17,25.799667999999997,65.244,65.2,85.2,1.376257,0.0,1.412191,efficientdet_lite4_detection_metadata_2,41.96
36,18,25.848891,65.244,65.2,22.2,1.376257,0.0,1.42548,efficientdet_lite4_detection_metadata_2,41.96
37,18,27.242883999999997,66.218,66.2,84.2,1.393993,0.0,1.42548,efficientdet_lite4_detection_metadata_2,41.96
38,19,27.292176999999995,66.218,65.2,26.3,1.393993,0.0,1.443286,efficientdet_lite4_detection_metadata_2,41.96
39,19,28.693072999999995,66.218,66.7,84.3,1.400896,0.0,1.443286,efficientdet_lite4_detection_metadata_2,41.96
40,20,28.742870999999994,66.705,66.2,26.3,1.400896,0.0,1.450694,efficientdet_lite4_detection_metadata_2,41.96
41,20,30.099114999999994,66.705,67.2,85.9,1.356244,0.0,1.450694,efficientdet_lite4_detection_metadata_2,41.96
42,21,30.148144999999992,67.192,66.2,26.3,1.356244,0.0,1.405274,efficientdet_lite4_detection_metadata_2,41.96
43,21,31.50973399999999,67.192,66.7,85.2,1.361589,0.0,1.405274,efficientdet_lite4_detection_metadata_2,41.96
