,avg_accuracy_record,cpu_record,iterator_record,loop_duration_record,net_record,pause_duration_record,processing_duration_record,temp_record_CPU,time_record
0,41.96,0.0,0,0.0,efficientdet_lite1_detection_metadata_1,0.0,0.0,52.5,0.0
1,41.96,8.8,0,0.0,efficientdet_lite1_detection_metadata_1,0.0,0.305986,52.0,0.305986
2,41.96,100.0,1,0.306775,efficientdet_lite1_detection_metadata_1,0.0,0.305986,52.0,0.306775
3,41.96,80.5,1,0.306775,efficientdet_lite1_detection_metadata_1,0.0,0.31499,54.0,0.621765
4,41.96,0.0,2,0.315838,efficientdet_lite1_detection_metadata_1,0.0,0.31499,54.0,0.622613
5,41.96,79.5,2,0.315838,efficientdet_lite1_detection_metadata_1,0.0,0.28781,52.0,0.910423
6,41.96,0.0,3,0.28859,efficientdet_lite1_detection_metadata_1,0.0,0.28781,52.0,0.9112029999999999
7,41.96,81.9,3,0.28859,efficientdet_lite1_detection_metadata_1,0.0,0.319289,52.5,1.230492
8,41.96,0.0,4,0.3201,efficientdet_lite1_detection_metadata_1,0.0,0.319289,52.5,1.231303
9,41.96,78.6,4,0.3201,efficientdet_lite1_detection_metadata_1,0.0,0.285566,54.5,1.516869
10,41.96,0.0,5,0.286341,efficientdet_lite1_detection_metadata_1,0.0,0.285566,54.5,1.517644
11,41.96,81.1,5,0.286341,efficientdet_lite1_detection_metadata_1,0.0,0.306057,53.5,1.823701
12,30.55,0.0,6,0.307385,efficientdet_lite1_detection_metadata_1,0.0,0.306057,53.5,1.8250289999999998
13,30.55,79.1,6,0.307385,efficientdet_lite1_detection_metadata_1,0.0,0.291521,52.0,2.1165499999999997
14,30.55,0.0,7,0.292764,efficientdet_lite1_detection_metadata_1,0.0,0.291521,52.0,2.117793
15,30.55,80.5,7,0.292764,efficientdet_lite1_detection_metadata_1,0.0,0.309684,55.0,2.4274769999999997
16,30.55,0.0,8,0.310978,efficientdet_lite1_detection_metadata_1,0.0,0.309684,55.0,2.428771
17,30.55,79.2,8,0.310978,efficientdet_lite1_detection_metadata_1,0.0,0.295033,52.5,2.723804
18,30.55,0.0,9,0.296284,efficientdet_lite1_detection_metadata_1,0.0,0.295033,52.5,2.725055
19,30.55,84.0,9,0.296284,efficientdet_lite1_detection_metadata_1,0.0,0.327869,53.5,3.052924
20,30.55,0.0,10,0.329182,efficientdet_lite1_detection_metadata_1,0.0,0.327869,53.5,3.0542369999999996
21,30.55,80.3,10,0.329182,efficientdet_lite1_detection_metadata_1,0.0,0.316273,52.0,3.3705099999999995
22,30.55,0.0,11,0.317482,efficientdet_lite1_detection_metadata_1,0.0,0.316273,52.0,3.3717189999999997
23,30.55,81.5,11,0.317482,efficientdet_lite1_detection_metadata_1,0.0,0.373404,52.5,3.7451229999999995
24,30.55,0.0,12,0.374643,efficientdet_lite1_detection_metadata_1,0.0,0.373404,52.5,3.7463619999999995
25,30.55,81.7,12,0.374643,efficientdet_lite1_detection_metadata_1,0.0,0.307681,53.0,4.054042999999999
26,30.55,0.0,13,0.308922,efficientdet_lite1_detection_metadata_1,0.0,0.307681,53.0,4.0552839999999994
27,30.55,82.4,13,0.308922,efficientdet_lite1_detection_metadata_1,0.0,0.381018,52.0,4.4363019999999995
28,30.55,0.0,14,0.382263,efficientdet_lite1_detection_metadata_1,0.0,0.381018,52.0,4.4375469999999995
29,30.55,81.0,14,0.382263,efficientdet_lite1_detection_metadata_1,0.0,0.309453,53.0,4.747
30,30.55,0.0,15,0.310693,efficientdet_lite1_detection_metadata_1,0.0,0.309453,53.0,4.748239999999999
31,30.55,80.0,15,0.310693,efficientdet_lite1_detection_metadata_1,0.0,0.338896,52.0,5.087135999999999
32,30.55,0.0,16,0.340133,efficientdet_lite1_detection_metadata_1,0.0,0.338896,52.0,5.088372999999999
33,30.55,79.2,16,0.340133,efficientdet_lite1_detection_metadata_1,0.0,0.330277,52.0,5.418649999999999
34,30.55,0.0,17,0.331571,efficientdet_lite1_detection_metadata_1,0.0,0.330277,52.0,5.419943999999999
