,avg_accuracy_record,cpu_record,iterator_record,loop_duration_record,net_record,pause_duration_record,processing_duration_record,temp_record_CPU,time_record
0,41.96,0.0,0,0.0,efficientdet_lite4_detection_metadata_2,0,0.0,61.5,0.0
1,41.96,8.1,0,0.0,efficientdet_lite2_detection_metadata_1,0,1.503459,51.5,1.503459
2,41.96,0.0,1,1.504243,efficientdet_lite2_detection_metadata_1,0,1.503459,51.5,1.504243
3,41.96,82.7,1,1.504243,efficientdet_lite2_detection_metadata_1,0,0.462005,52.0,1.966248
4,41.96,0.0,2,0.462758,efficientdet_lite2_detection_metadata_1,0,0.462005,52.0,1.9670010000000002
5,41.96,79.5,2,0.462758,efficientdet_lite1_detection_metadata_1,0,0.416013,52.5,2.383014
6,41.96,0.0,3,0.416772,efficientdet_lite1_detection_metadata_1,0,0.416013,52.5,2.383773
7,41.96,76.7,3,0.416772,efficientdet_lite1_detection_metadata_1,0,0.310322,52.5,2.694095
8,41.96,0.0,4,0.311078,efficientdet_lite1_detection_metadata_1,0,0.310322,52.5,2.694851
9,41.96,81.5,4,0.311078,efficientdet_lite1_detection_metadata_1,0,0.320388,52.5,3.015239
10,41.96,0.0,5,0.321228,efficientdet_lite1_detection_metadata_1,0,0.320388,52.5,3.016079
11,41.96,81.7,5,0.321228,efficientdet_lite0_detection_metadata_1,0,0.296102,55.5,3.312181
12,30.262,0.0,6,0.298513,efficientdet_lite0_detection_metadata_1,0,0.296102,55.5,3.3145919999999998
13,30.262,81.5,6,0.298513,efficientdet_lite0_detection_metadata_1,0,0.227554,54.5,3.542146
14,28.606,0.0,7,0.22975,efficientdet_lite0_detection_metadata_1,0,0.227554,54.5,3.544342
15,28.606,82.6,7,0.22975,efficientdet_lite0_detection_metadata_1,0,0.225341,56.0,3.7696829999999997
16,27.634000000000004,0.0,8,0.227518,efficientdet_lite0_detection_metadata_1,0,0.225341,56.0,3.7718599999999993
17,27.634000000000004,83.5,8,0.227518,efficientdet_lite0_detection_metadata_1,0,0.253268,55.0,4.025128
18,26.662,0.0,9,0.255571,efficientdet_lite0_detection_metadata_1,0,0.253268,55.0,4.027430999999999
19,26.662,84.6,9,0.255571,efficientdet_lite0_detection_metadata_1,0,0.288297,54.5,4.315727999999999
20,25.690000000000005,0.0,10,0.290491,efficientdet_lite0_detection_metadata_1,0,0.288297,54.5,4.317921999999999
21,25.690000000000005,79.8,10,0.290491,efficientdet_lite0_detection_metadata_1,0,0.231806,55.0,4.549727999999999
22,25.690000000000005,0.0,11,0.234036,efficientdet_lite0_detection_metadata_1,0,0.231806,55.0,4.551957999999999
23,25.690000000000005,81.5,11,0.234036,efficientdet_lite0_detection_metadata_1,0,0.161989,55.0,4.713946999999999
24,25.690000000000005,0.0,12,0.164353,efficientdet_lite0_detection_metadata_1,0,0.161989,55.0,4.716310999999999
25,25.690000000000005,82.0,12,0.164353,efficientdet_lite0_detection_metadata_1,0,0.254801,55.0,4.971111999999999
26,25.690000000000005,0.0,13,0.256964,efficientdet_lite0_detection_metadata_1,0,0.254801,55.0,4.973274999999999
27,25.690000000000005,80.4,13,0.256964,efficientdet_lite1_detection_metadata_1,0,0.233284,53.0,5.2065589999999995
28,26.662,0.0,14,0.235454,efficientdet_lite1_detection_metadata_1,0,0.233284,53.0,5.208728999999999
29,26.662,79.3,14,0.235454,efficientdet_lite0_detection_metadata_1,0,0.365797,54.5,5.574525999999999
30,26.662,50.0,15,0.36804,efficientdet_lite0_detection_metadata_1,0,0.365797,54.5,5.576768999999999
31,26.662,78.7,15,0.36804,efficientdet_lite0_detection_metadata_1,0,0.22719,55.5,5.803958999999999
32,26.662,0.0,16,0.229347,efficientdet_lite0_detection_metadata_1,0,0.22719,55.5,5.8061159999999985
33,26.662,84.0,16,0.229347,efficientdet_lite0_detection_metadata_1,0,0.238602,54.0,6.044717999999999
34,26.662,0.0,17,0.240813,efficientdet_lite0_detection_metadata_1,0,0.238602,54.0,6.046928999999999
35,26.662,81.6,17,0.240813,efficientdet_lite0_detection_metadata_1,0,0.242,54.5,6.288928999999999
36,26.662,100.0,18,0.24423,efficientdet_lite0_detection_metadata_1,0,0.242,54.5,6.291158999999999
37,26.662,80.6,18,0.24423,efficientdet_lite0_detection_metadata_1,0,0.238183,54.0,6.529341999999999
38,25.690000000000005,50.0,19,0.240408,efficientdet_lite0_detection_metadata_1,0,0.238183,54.0,6.531566999999999
39,25.690000000000005,80.6,19,0.240408,efficientdet_lite0_detection_metadata_1,0,0.232809,53.5,6.764375999999999
40,25.690000000000005,0.0,20,0.235039,efficientdet_lite0_detection_metadata_1,0,0.232809,53.5,6.7666059999999995
41,25.690000000000005,76.8,20,0.235039,efficientdet_lite1_detection_metadata_1,0,0.235903,53.0,7.002509
42,26.662,50.0,21,0.238057,efficientdet_lite1_detection_metadata_1,0,0.235903,53.0,7.004663
43,26.662,79.9,21,0.238057,efficientdet_lite0_detection_metadata_1,0,0.378081,53.5,7.382744
44,26.662,0.0,22,0.380313,efficientdet_lite0_detection_metadata_1,0,0.378081,53.5,7.384976
45,26.662,75.3,22,0.380313,efficientdet_lite1_detection_metadata_1,0,0.217368,53.0,7.602344
46,27.634000000000004,0.0,23,0.219604,efficientdet_lite1_detection_metadata_1,0,0.217368,53.0,7.60458
47,27.634000000000004,76.5,23,0.219604,efficientdet_lite1_detection_metadata_1,0,0.381736,53.0,7.986316
48,28.606,0.0,24,0.383996,efficientdet_lite1_detection_metadata_1,0,0.381736,53.0,7.988576
49,28.606,77.9,24,0.383996,efficientdet_lite1_detection_metadata_1,0,0.324084,52.5,8.31266
50,29.578000000000003,0.0,25,0.326344,efficientdet_lite1_detection_metadata_1,0,0.324084,52.5,8.31492
