,iterator_record,time_record,temp_record_CPU,temp_record_GPU,cpu_record,processing_duration_record,pause_duration_record,loop_duration_record,net_record,avg_accuracy_record
0,0,0.0,53.556,53.5,0.0,0.0,0.0,0.0,efficientdet_lite4_detection_metadata_2,0.4196
1,0,1.562823,54.043,53.5,11.7,1.562823,0.0,0.0,efficientdet_lite4_detection_metadata_2,0.4196
2,1,1.6126979999999997,53.556,54.0,26.3,1.562823,0.0,1.612698,efficientdet_lite4_detection_metadata_2,0.4196
3,1,2.970338,55.991,55.5,85.4,1.35764,0.0,1.612698,efficientdet_lite4_detection_metadata_2,0.4196
4,2,3.018985,55.991,55.0,25.0,1.35764,0.0,1.406287,efficientdet_lite4_detection_metadata_2,0.4196
5,2,4.381135,56.478,56.4,85.2,1.36215,0.0,1.406287,efficientdet_lite4_detection_metadata_2,0.4196
6,3,4.4297439999999995,56.478,56.4,26.3,1.36215,0.0,1.410759,efficientdet_lite4_detection_metadata_2,0.4196
7,3,5.791226999999999,58.426,57.4,85.3,1.361483,0.0,1.410759,efficientdet_lite4_detection_metadata_2,0.4196
8,4,5.8431489999999995,57.452,57.9,22.2,1.361483,0.0,1.413405,efficientdet_lite4_detection_metadata_2,0.4196
9,4,7.192533999999999,58.426,58.9,85.4,1.349385,0.0,1.413405,efficientdet_lite4_detection_metadata_2,0.4196
10,5,7.241653999999999,58.913,57.9,30.0,1.349385,0.0,1.398505,efficientdet_lite4_detection_metadata_2,0.4196
11,5,8.628229,59.4,59.4,84.1,1.386575,0.0,1.398505,efficientdet_lite4_detection_metadata_2,0.4196
12,6,8.679109999999998,58.913,59.9,25.0,1.386575,0.0,1.437456,efficientdet_lite4_detection_metadata_2,0.4196
13,6,10.037472999999999,60.374,59.4,85.4,1.358363,0.0,1.437456,efficientdet_lite4_detection_metadata_2,0.4196
14,7,10.087880999999998,59.4,60.8,26.3,1.358363,0.0,1.408771,efficientdet_lite4_detection_metadata_2,0.4196
15,7,11.449245999999997,60.861,60.8,85.1,1.361365,0.0,1.408771,efficientdet_lite4_detection_metadata_2,0.4196
16,8,11.499931999999998,60.861,60.3,25.0,1.361365,0.0,1.412051,efficientdet_lite4_detection_metadata_2,0.4196
17,8,12.871048999999998,60.861,60.8,85.3,1.371117,0.0,1.412051,efficientdet_lite4_detection_metadata_2,0.4196
18,9,12.921377999999997,60.861,60.8,25.0,1.371117,0.0,1.421446,efficientdet_lite4_detection_metadata_2,0.4196
19,9,14.279773999999996,61.348,61.8,85.3,1.358396,0.0,1.421446,efficientdet_lite4_detection_metadata_2,0.4196
20,10,14.330128999999996,61.835,61.3,22.2,1.358396,0.0,1.408751,efficientdet_lite4_detection_metadata_2,0.4196
21,10,15.698323999999996,61.348,62.8,86.4,1.368195,0.0,1.408751,efficientdet_lite4_detection_metadata_2,0.4196
22,11,15.751896999999996,62.809,62.3,54.5,1.368195,0.0,1.421768,efficientdet_lite4_detection_metadata_2,0.4196
23,11,17.363581999999997,62.322,61.8,83.2,1.611685,0.0,1.421768,efficientdet_lite4_detection_metadata_2,0.4196
24,12,17.414427999999997,61.835,61.8,28.6,1.611685,0.0,1.662531,efficientdet_lite4_detection_metadata_2,0.4196
25,12,18.782059999999998,62.322,62.3,84.5,1.367632,0.0,1.662531,efficientdet_lite4_detection_metadata_2,0.4196
26,13,18.832563999999998,61.835,61.3,30.0,1.367632,0.0,1.418136,efficientdet_lite4_detection_metadata_2,0.4196
27,13,20.190465999999997,63.783,63.7,85.2,1.357902,0.0,1.418136,efficientdet_lite4_detection_metadata_2,0.4196
28,14,20.241172,63.783,63.3,27.3,1.357902,0.0,1.408608,efficientdet_lite4_detection_metadata_2,0.4196
29,14,21.593134,63.783,64.2,85.7,1.351962,0.0,1.408608,efficientdet_lite4_detection_metadata_2,0.4196
30,15,21.643635,64.27,63.7,25.0,1.351962,0.0,1.402463,efficientdet_lite4_detection_metadata_2,0.4196
31,15,23.009949,64.27,63.7,84.9,1.366314,0.0,1.402463,efficientdet_lite4_detection_metadata_2,0.4196
32,16,23.060389999999998,63.783,64.2,26.3,1.366314,0.0,1.416755,efficientdet_lite4_detection_metadata_2,0.4196
33,16,24.410932,64.27,63.7,85.7,1.350542,0.0,1.416755,efficientdet_lite4_detection_metadata_2,0.4196
34,17,24.461171999999998,63.783,64.2,28.6,1.350542,0.0,1.400782,efficientdet_lite4_detection_metadata_2,0.4196
35,17,25.828280999999997,64.757,64.7,85.0,1.367109,0.0,1.400782,efficientdet_lite4_detection_metadata_2,0.4196
36,18,25.878284999999998,64.757,64.7,26.3,1.367109,0.0,1.417113,efficientdet_lite4_detection_metadata_2,0.4196
37,18,27.244470999999997,64.27,64.7,84.9,1.366186,0.0,1.417113,efficientdet_lite4_detection_metadata_2,0.4196
38,19,27.295343,64.757,64.7,28.6,1.366186,0.0,1.417058,efficientdet_lite4_detection_metadata_2,0.4196
39,19,28.661846,64.757,64.7,84.8,1.366503,0.0,1.417058,efficientdet_lite4_detection_metadata_2,0.4196
40,20,28.712248,64.757,63.7,25.0,1.366503,0.0,1.416905,efficientdet_lite4_detection_metadata_2,0.4196
41,20,30.063053999999998,64.757,63.7,85.4,1.350806,0.0,1.416905,efficientdet_lite4_detection_metadata_2,0.4196
42,21,30.113885,63.783,64.7,26.3,1.350806,0.0,1.401637,efficientdet_lite4_detection_metadata_2,0.4196
43,21,31.465867,64.27,64.7,85.4,1.351982,0.0,1.401637,efficientdet_lite4_detection_metadata_2,0.4196
44,22,31.516351,64.757,64.7,26.3,1.351982,0.0,1.402466,efficientdet_lite4_detection_metadata_2,0.4196
45,22,32.873485,64.757,65.2,85.3,1.357134,0.0,1.402466,efficientdet_lite4_detection_metadata_2,0.4196
46,23,32.923964,65.244,65.2,26.3,1.357134,0.0,1.407613,efficientdet_lite4_detection_metadata_2,0.4196
47,23,34.279027,66.218,65.7,85.4,1.355063,0.0,1.407613,efficientdet_lite4_detection_metadata_2,0.4196
48,24,34.329341,65.731,65.7,26.3,1.355063,0.0,1.405377,efficientdet_lite4_detection_metadata_2,0.4196
49,24,35.716582,65.731,66.7,84.0,1.387241,0.0,1.405377,efficientdet_lite4_detection_metadata_2,0.4196
50,25,35.76691,66.218,65.7,28.6,1.387241,0.0,1.437569,efficientdet_lite4_detection_metadata_2,0.4196
51,25,37.12629200000001,66.705,65.2,85.4,1.359382,0.0,1.437569,efficientdet_lite4_detection_metadata_2,0.4196
52,26,37.17700300000001,65.244,65.7,25.0,1.359382,0.0,1.410093,efficientdet_lite4_detection_metadata_2,0.4196
53,26,38.53953900000001,66.218,66.2,85.1,1.362536,0.0,1.410093,efficientdet_lite4_detection_metadata_2,0.4196
54,27,38.589846000000016,66.218,66.2,26.3,1.362536,0.0,1.412843,efficientdet_lite4_detection_metadata_2,0.4196
55,27,39.972082000000015,66.705,66.7,84.9,1.382236,0.0,1.412843,efficientdet_lite4_detection_metadata_2,0.4196
56,28,40.030524000000014,66.705,65.7,52.0,1.382236,0.0,1.440678,efficientdet_lite4_detection_metadata_2,0.4196
