,iterator_record,time_record,temp_record_CPU,temp_record_GPU,cpu_record,processing_duration_record,pause_duration_record,loop_duration_record,net_record,avg_accuracy_record
0,0,0.0,67.192,68.1,0.0,0.0,0.0,0.0,efficientdet_lite4_detection_metadata_2,0.4196
1,0,1.42842,54.043,55.0,1.0,1.42842,0.0,0.0,efficientdet_lite2_detection_metadata_1,0.4196
2,1,1.479542,55.017,55.5,28.6,1.42842,0.0,1.479542,efficientdet_lite2_detection_metadata_1,0.4196
3,1,1.828875,55.017,54.5,72.2,0.349333,0.0,1.479542,efficientdet_lite2_detection_metadata_1,0.4196
4,2,1.8797139999999999,54.53,53.0,28.6,0.349333,0.0,0.400172,efficientdet_lite2_detection_metadata_1,0.4196
5,2,2.2342049999999998,55.017,55.0,71.6,0.354491,0.0,0.400172,efficientdet_lite2_detection_metadata_1,0.4196
6,3,2.2862389999999997,55.017,55.0,28.6,0.354491,0.0,0.406525,efficientdet_lite2_detection_metadata_1,0.4196
7,3,2.6286629999999995,56.478,55.0,72.4,0.342424,0.0,0.406525,efficientdet_lite2_detection_metadata_1,0.4196
8,4,2.6793359999999997,55.017,56.4,30.0,0.342424,0.0,0.393097,efficientdet_lite2_detection_metadata_1,0.4196
9,4,3.0199969999999996,56.478,55.5,72.3,0.340661,0.0,0.393097,efficientdet_lite2_detection_metadata_1,0.4196
10,5,3.0707699999999996,55.504,55.5,25.0,0.340661,0.0,0.391434,efficientdet_lite2_detection_metadata_1,0.4196
11,5,3.4282389999999996,55.991,55.5,71.9,0.357469,0.0,0.391434,efficientdet_lite2_detection_metadata_1,0.4196
12,6,3.4884469999999994,56.965,56.0,23.8,0.357469,1.1766978295433734,0.417677,efficientdet_lite2_detection_metadata_1,0.3397
13,6,3.8372489999999995,57.939,57.4,71.1,0.348802,1.1766978295433734,0.417677,efficientdet_lite2_detection_metadata_1,0.3397
14,7,5.068041999999999,54.53,55.0,1.0,0.348802,1.1766978295433734,1.579595,efficientdet_lite2_detection_metadata_1,0.3397
15,7,5.411537999999999,55.991,57.4,71.8,0.343496,1.1766978295433734,1.579595,efficientdet_lite2_detection_metadata_1,0.3397
16,8,6.642252999999999,54.53,54.5,1.4,0.343496,1.1766978295433734,1.574211,efficientdet_lite2_detection_metadata_1,0.3397
17,8,6.984751999999999,55.991,55.5,72.6,0.342499,1.1766978295433734,1.574211,efficientdet_lite2_detection_metadata_1,0.3397
18,9,8.215637999999998,54.53,55.0,1.4,0.342499,1.1766978295433734,1.573385,efficientdet_lite2_detection_metadata_1,0.3397
19,9,8.564006,56.478,56.9,71.4,0.348368,1.1766978295433734,1.573385,efficientdet_lite2_detection_metadata_1,0.3397
20,10,9.796815999999998,54.043,54.0,2.0,0.348368,1.1766978295433734,1.581178,efficientdet_lite2_detection_metadata_1,0.3397
21,10,10.148373999999999,55.991,55.0,71.3,0.351558,1.1766978295433734,1.581178,efficientdet_lite2_detection_metadata_1,0.3397
22,11,11.379182999999998,54.53,54.5,1.4,0.351558,1.1766978295433734,1.582367,efficientdet_lite2_detection_metadata_1,0.3397
23,11,11.729227999999997,55.504,56.0,71.4,0.350045,1.1766978295433734,1.582367,efficientdet_lite2_detection_metadata_1,0.3397
24,12,12.960209999999998,54.53,54.0,1.0,0.350045,1.1766978295433734,1.581027,efficientdet_lite2_detection_metadata_1,0.3397
25,12,13.318824999999999,56.965,56.0,70.6,0.358615,1.1766978295433734,1.581027,efficientdet_lite2_detection_metadata_1,0.3397
26,13,14.549303999999998,54.043,53.5,1.2,0.358615,1.1766978295433734,1.589094,efficientdet_lite2_detection_metadata_1,0.3397
27,13,14.954360999999997,56.965,56.4,72.8,0.405057,1.1766978295433734,1.589094,efficientdet_lite2_detection_metadata_1,0.3397
28,14,16.1849,54.53,54.0,1.6,0.405057,1.1766978295433734,1.635596,efficientdet_lite2_detection_metadata_1,0.3397
29,14,16.528803999999997,56.965,56.4,71.8,0.343904,1.1766978295433734,1.635596,efficientdet_lite2_detection_metadata_1,0.3397
30,15,17.759422999999998,54.53,55.0,1.2,0.343904,1.1766978295433734,1.574523,efficientdet_lite2_detection_metadata_1,0.3397
31,15,18.103944,56.965,56.9,71.5,0.344521,1.1766978295433734,1.574523,efficientdet_lite2_detection_metadata_1,0.3397
32,16,19.334633999999998,55.017,55.0,1.2,0.344521,1.1766978295433734,1.575211,efficientdet_lite2_detection_metadata_1,0.3397
33,16,19.715524,54.53,55.5,68.6,0.38089,1.1766978295433734,1.575211,efficientdet_lite2_detection_metadata_1,0.3397
34,17,20.947809,55.017,55.5,1.2,0.38089,1.1766978295433734,1.613175,efficientdet_lite2_detection_metadata_1,0.3397
35,17,21.298766,56.478,56.4,71.3,0.350957,1.1766978295433734,1.613175,efficientdet_lite2_detection_metadata_1,0.3397
36,18,22.529443999999998,54.53,55.0,1.0,0.350957,1.1766978295433734,1.581635,efficientdet_lite2_detection_metadata_1,0.3397
37,18,22.874236999999997,56.965,57.4,71.3,0.344793,1.1766978295433734,1.581635,efficientdet_lite2_detection_metadata_1,0.3397
38,19,24.104955999999998,54.043,55.0,1.2,0.344793,1.1766978295433734,1.575512,efficientdet_lite2_detection_metadata_1,0.3397
39,19,24.456726999999997,56.965,56.4,71.3,0.351771,1.1766978295433734,1.575512,efficientdet_lite2_detection_metadata_1,0.3397
40,20,25.689944999999998,54.53,55.0,2.0,0.351771,1.1766978295433734,1.584989,efficientdet_lite2_detection_metadata_1,0.3397
41,20,26.051606,57.452,55.0,70.9,0.361661,1.1766978295433734,1.584989,efficientdet_lite2_detection_metadata_1,0.3397
42,21,27.282082,54.53,55.5,1.0,0.361661,1.1766978295433734,1.592137,efficientdet_lite2_detection_metadata_1,0.3397
43,21,27.628863,56.478,56.9,71.3,0.346781,1.1766978295433734,1.592137,efficientdet_lite2_detection_metadata_1,0.3397
44,22,28.859610999999997,55.017,55.5,1.2,0.346781,1.1766978295433734,1.577529,efficientdet_lite2_detection_metadata_1,0.3397
45,22,29.205869999999997,55.504,56.4,71.7,0.346259,1.1766978295433734,1.577529,efficientdet_lite2_detection_metadata_1,0.3397
46,23,30.436600999999996,55.017,55.5,1.2,0.346259,1.1766978295433734,1.57699,efficientdet_lite2_detection_metadata_1,0.3397
47,23,30.829499999999996,56.478,56.4,74.2,0.392899,1.1766978295433734,1.57699,efficientdet_lite2_detection_metadata_1,0.3397
48,24,32.060612,54.53,55.5,1.2,0.392899,1.1766978295433734,1.624011,efficientdet_lite2_detection_metadata_1,0.3397
49,24,32.417546,56.478,57.4,70.1,0.356934,1.1766978295433734,1.624011,efficientdet_lite2_detection_metadata_1,0.3397
50,25,33.651790999999996,55.017,56.0,1.2,0.356934,1.1766978295433734,1.591179,efficientdet_lite2_detection_metadata_1,0.3397
51,25,34.005289,57.939,56.4,71.6,0.353498,1.1766978295433734,1.591179,efficientdet_lite2_detection_metadata_1,0.3397
