,avg_accuracy_record,cpu_record,iterator_record,loop_duration_record,net_record,pause_duration_record,processing_duration_record,temp_record_CPU,time_record
0,0.4196,0.0,0,0.0,efficientdet_lite4_detection_metadata_2,0.0,0.0,48.5,0.0
1,0.4196,82.0,0,0.0,efficientdet_lite4_detection_metadata_2,0.0,1.384167,45.5,1.384167
2,0.4196,100.0,1,1.385637,efficientdet_lite4_detection_metadata_2,0.0,1.384167,45.5,1.3856369999999998
3,0.4196,84.8,1,1.385637,efficientdet_lite4_detection_metadata_2,0.0,1.36697,45.5,2.752607
4,0.4196,0.0,2,1.367882,efficientdet_lite4_detection_metadata_2,0.0,1.36697,45.5,2.753519
5,0.4196,85.6,2,1.367882,efficientdet_lite4_detection_metadata_2,0.0,1.354902,45.5,4.108421
6,0.4196,0.0,3,1.355818,efficientdet_lite4_detection_metadata_2,0.0,1.354902,45.5,4.109337
7,0.4196,85.8,3,1.355818,efficientdet_lite4_detection_metadata_2,0.0,1.344409,45.5,5.453746
8,0.4196,0.0,4,1.345317,efficientdet_lite4_detection_metadata_2,0.0,1.344409,45.5,5.454654000000001
9,0.4196,85.6,4,1.345317,efficientdet_lite4_detection_metadata_2,0.0,1.349072,45.5,6.803726000000001
10,0.4196,0.0,5,1.349979,efficientdet_lite4_detection_metadata_2,0.0,1.349072,45.5,6.804633000000001
11,0.4196,85.8,5,1.349979,efficientdet_lite4_detection_metadata_2,0.0,1.346793,46.0,8.151426
12,0.4196,0.0,6,1.349151,efficientdet_lite4_detection_metadata_2,0.0,1.346793,46.0,8.153784
13,0.4196,85.8,6,1.349151,efficientdet_lite4_detection_metadata_2,0.0,1.343274,46.0,9.497057999999999
14,0.4196,0.0,7,1.345438,efficientdet_lite4_detection_metadata_2,0.0,1.343274,46.0,9.499222
15,0.4196,85.5,7,1.345438,efficientdet_lite4_detection_metadata_2,0.0,1.3497,47.5,10.848922
16,0.4196,0.0,8,1.351854,efficientdet_lite4_detection_metadata_2,0.0,1.3497,47.5,10.851075999999999
17,0.4196,85.3,8,1.351854,efficientdet_lite4_detection_metadata_2,0.0,1.352942,47.5,12.204018
18,0.4196,0.0,9,1.355084,efficientdet_lite4_detection_metadata_2,0.0,1.352942,47.5,12.206159999999999
19,0.4196,85.6,9,1.355084,efficientdet_lite4_detection_metadata_2,0.0,1.342728,48.0,13.548887999999998
20,0.4196,0.0,10,1.344826,efficientdet_lite4_detection_metadata_2,0.0,1.342728,48.0,13.550985999999998
21,0.4196,85.2,10,1.344826,efficientdet_lite4_detection_metadata_2,0.0,1.354449,47.5,14.905434999999999
22,0.4196,0.0,11,1.356538,efficientdet_lite4_detection_metadata_2,0.0,1.354449,47.5,14.907523999999997
23,0.4196,85.2,11,1.356538,efficientdet_lite4_detection_metadata_2,0.0,1.353203,47.5,16.260726999999996
24,0.4196,0.0,12,1.35529,efficientdet_lite4_detection_metadata_2,0.0,1.353203,47.5,16.262813999999995
25,0.4196,85.6,12,1.35529,efficientdet_lite4_detection_metadata_2,0.0,1.345263,46.5,17.608076999999994
26,0.4196,0.0,13,1.347369,efficientdet_lite4_detection_metadata_2,0.0,1.345263,46.5,17.610182999999996
27,0.4196,85.6,13,1.347369,efficientdet_lite4_detection_metadata_2,0.0,1.352523,48.0,18.962705999999997
28,0.4196,0.0,14,1.354614,efficientdet_lite4_detection_metadata_2,0.0,1.352523,48.0,18.964796999999997
29,0.4196,85.2,14,1.354614,efficientdet_lite4_detection_metadata_2,0.0,1.358092,46.0,20.322888999999996
30,0.4196,0.0,15,1.360202,efficientdet_lite4_detection_metadata_2,0.0,1.358092,46.0,20.324999
31,0.4196,85.6,15,1.360202,efficientdet_lite4_detection_metadata_2,0.0,1.351435,48.0,21.676433999999997
32,0.4196,0.0,16,1.353639,efficientdet_lite4_detection_metadata_2,0.0,1.351435,48.0,21.678638
33,0.4196,85.6,16,1.353639,efficientdet_lite4_detection_metadata_2,0.0,1.349118,48.5,23.027756
