,iterator_record,time_record,temp_record_CPU,temp_record_GPU,cpu_record,processing_duration_record,pause_duration_record,loop_duration_record,net_record,avg_accuracy_record
0,0,0.0,68.166,67.6,0.0,0.0,1.5,0.0,efficientdet_lite4_detection_metadata_2,0.4196
1,0,1.553507,54.043,54.0,1.2,1.553507,1.5,0.0,efficientdet_lite4_detection_metadata_2,0.4196
2,1,3.1104720000000006,53.069,53.0,1.1,1.553507,1.5,3.110472,efficientdet_lite4_detection_metadata_2,0.4196
3,1,4.755217,57.452,56.0,82.9,1.644745,1.5,3.110472,efficientdet_lite4_detection_metadata_2,0.4196
4,2,6.312472,55.017,55.5,1.1,1.644745,1.5,3.202,efficientdet_lite4_detection_metadata_2,0.4196
5,2,7.687818,58.426,56.4,84.6,1.375346,1.5,3.202,efficientdet_lite4_detection_metadata_2,0.4196
6,3,9.244625,55.991,56.0,1.1,1.375346,1.5,2.932153,efficientdet_lite4_detection_metadata_2,0.4196
7,3,10.646604,58.913,58.4,85.0,1.401979,1.5,2.932153,efficientdet_lite4_detection_metadata_2,0.4196
8,4,12.203555999999999,56.478,56.9,0.8,1.401979,1.5,2.958931,efficientdet_lite4_detection_metadata_2,0.4196
9,4,13.566578,57.939,58.9,85.3,1.363022,1.5,2.958931,efficientdet_lite4_detection_metadata_2,0.4196
10,5,15.123919,56.965,55.5,1.9,1.363022,1.5,2.920363,efficientdet_lite4_detection_metadata_2,0.4196
11,5,16.523574,58.913,58.4,83.9,1.399655,1.5,2.920363,efficientdet_lite4_detection_metadata_2,0.4196
12,6,18.081295,57.452,56.9,0.8,1.399655,1.5,2.957376,efficientdet_lite4_detection_metadata_2,0.4196
13,6,19.446052,58.913,59.4,85.2,1.364757,1.5,2.957376,efficientdet_lite4_detection_metadata_2,0.4196
14,7,21.00364,57.452,57.9,1.1,1.364757,1.5,2.922345,efficientdet_lite4_detection_metadata_2,0.4196
15,7,22.378164,60.861,59.9,84.9,1.374524,1.5,2.922345,efficientdet_lite4_detection_metadata_2,0.4196
16,8,23.935756,58.426,57.9,1.0,1.374524,1.5,2.932116,efficientdet_lite4_detection_metadata_2,0.4196
17,8,25.337733,60.374,59.9,85.2,1.401977,1.5,2.932116,efficientdet_lite4_detection_metadata_2,0.4196
18,9,26.895686,58.913,57.9,1.1,1.401977,1.5,2.95993,efficientdet_lite4_detection_metadata_2,0.4196
19,9,28.329942000000003,59.887,60.3,84.7,1.434256,1.5,2.95993,efficientdet_lite4_detection_metadata_2,0.4196
20,10,29.88759,59.4,58.9,0.8,1.434256,1.5,2.991904,efficientdet_lite4_detection_metadata_2,0.4196
21,10,31.299836,60.374,60.3,85.2,1.412246,1.5,2.991904,efficientdet_lite4_detection_metadata_2,0.4196
22,11,32.85714899999999,57.939,58.4,1.0,1.412246,1.5,2.969559,efficientdet_lite4_detection_metadata_2,0.4196
23,11,34.235367999999994,61.835,60.8,84.8,1.378219,1.5,2.969559,efficientdet_lite4_detection_metadata_2,0.4196
24,12,35.79306799999999,59.4,59.9,1.0,1.378219,1.5,2.935919,efficientdet_lite4_detection_metadata_2,0.4196
25,12,37.168989999999994,61.348,61.3,84.7,1.375922,1.5,2.935919,efficientdet_lite4_detection_metadata_2,0.4196
26,13,38.72633999999999,58.913,59.9,1.0,1.375922,1.5,2.933272,efficientdet_lite4_detection_metadata_2,0.4196
27,13,40.09058699999999,61.835,61.8,85.1,1.364247,1.5,2.933272,efficientdet_lite4_detection_metadata_2,0.4196
28,14,41.64802399999999,59.4,60.3,0.8,1.364247,1.5,2.921684,efficientdet_lite4_detection_metadata_2,0.4196
29,14,43.00719699999999,61.835,61.3,85.5,1.359173,1.5,2.921684,efficientdet_lite4_detection_metadata_2,0.4196
30,15,44.56471299999999,60.374,59.9,1.0,1.359173,1.5,2.916689,efficientdet_lite4_detection_metadata_2,0.4196
31,15,45.97658699999999,61.835,61.8,85.0,1.411874,1.5,2.916689,efficientdet_lite4_detection_metadata_2,0.4196
32,16,47.53443299999999,59.4,60.3,1.0,1.411874,1.5,2.96972,efficientdet_lite4_detection_metadata_2,0.4196
33,16,48.89491199999999,61.348,61.3,85.6,1.360479,1.5,2.96972,efficientdet_lite4_detection_metadata_2,0.4196
34,17,50.45265599999999,59.887,59.4,1.9,1.360479,1.5,2.918223,efficientdet_lite4_detection_metadata_2,0.4196
35,17,51.82795599999999,61.835,63.3,84.9,1.3753,1.5,2.918223,efficientdet_lite4_detection_metadata_2,0.4196
36,18,53.38567799999999,59.887,60.3,1.0,1.3753,1.5,2.933022,efficientdet_lite4_detection_metadata_2,0.4196
37,18,54.75981499999999,62.809,62.8,85.0,1.374137,1.5,2.933022,efficientdet_lite4_detection_metadata_2,0.4196
38,19,56.31727899999999,60.861,60.8,1.0,1.374137,1.5,2.931601,efficientdet_lite4_detection_metadata_2,0.4196
39,19,57.695944999999995,61.835,61.8,84.5,1.378666,1.5,2.931601,efficientdet_lite4_detection_metadata_2,0.4196
40,20,59.253429999999994,61.348,60.8,0.8,1.378666,1.5,2.936151,efficientdet_lite4_detection_metadata_2,0.4196
41,20,60.61813599999999,62.809,62.8,85.3,1.364706,1.5,2.936151,efficientdet_lite4_detection_metadata_2,0.4196
42,21,62.175585999999996,61.835,61.3,4.6,1.364706,1.5,2.922156,efficientdet_lite4_detection_metadata_2,0.4196
43,21,63.739698999999995,62.809,64.2,83.6,1.564113,1.5,2.922156,efficientdet_lite4_detection_metadata_2,0.4196
44,22,65.297277,60.861,60.8,1.3,1.564113,1.5,3.121691,efficientdet_lite4_detection_metadata_2,0.4196
45,22,66.683149,62.809,62.3,84.4,1.385872,1.5,3.121691,efficientdet_lite4_detection_metadata_2,0.4196
46,23,68.24078899999999,60.374,60.8,1.0,1.385872,1.5,2.943512,efficientdet_lite4_detection_metadata_2,0.4196
47,23,69.606753,63.783,62.8,85.2,1.365964,1.5,2.943512,efficientdet_lite4_detection_metadata_2,0.4196
48,24,71.16514099999999,60.374,61.8,1.1,1.365964,1.5,2.924352,efficientdet_lite4_detection_metadata_2,0.4196
49,24,72.56414299999999,63.783,63.7,83.6,1.399002,1.5,2.924352,efficientdet_lite4_detection_metadata_2,0.4196
50,25,74.12193299999998,62.322,61.8,1.0,1.399002,1.5,2.956792,efficientdet_lite4_detection_metadata_2,0.4196
51,25,75.52153199999998,64.27,63.3,85.6,1.399599,1.5,2.956792,efficientdet_lite4_detection_metadata_2,0.4196
52,26,77.07926299999998,61.835,61.3,1.0,1.399599,1.5,2.95733,efficientdet_lite4_detection_metadata_2,0.4196
53,26,78.45866899999999,64.27,64.7,84.6,1.379406,1.5,2.95733,efficientdet_lite4_detection_metadata_2,0.4196
54,27,80.01638699999998,62.322,61.8,1.1,1.379406,1.5,2.937124,efficientdet_lite4_detection_metadata_2,0.4196
55,27,81.44538399999998,64.757,63.7,84.2,1.428997,1.5,2.937124,efficientdet_lite4_detection_metadata_2,0.4196
56,28,83.00298399999998,61.348,61.8,1.1,1.428997,1.5,2.986597,efficientdet_lite4_detection_metadata_2,0.4196
57,28,84.37920199999998,64.27,63.3,84.6,1.376218,1.5,2.986597,efficientdet_lite4_detection_metadata_2,0.4196
58,29,85.93680399999998,61.348,62.3,1.0,1.376218,1.5,2.93382,efficientdet_lite4_detection_metadata_2,0.4196
59,29,87.37046199999997,64.757,62.8,83.4,1.433658,1.5,2.93382,efficientdet_lite4_detection_metadata_2,0.4196
60,30,88.92774599999998,62.322,60.8,1.0,1.433658,1.5,2.990942,efficientdet_lite4_detection_metadata_2,0.4196
61,30,90.30028699999998,63.783,64.2,84.7,1.372541,1.5,2.990942,efficientdet_lite4_detection_metadata_2,0.4196
62,31,91.85785399999999,61.835,62.3,1.1,1.372541,1.5,2.930108,efficientdet_lite4_detection_metadata_2,0.4196
63,31,93.21527099999999,64.757,64.7,85.4,1.357417,1.5,2.930108,efficientdet_lite4_detection_metadata_2,0.4196
64,32,94.77320699999999,62.322,62.8,1.0,1.357417,1.5,2.915353,efficientdet_lite4_detection_metadata_2,0.4196
65,32,96.18189699999999,64.27,64.7,85.5,1.40869,1.5,2.915353,efficientdet_lite4_detection_metadata_2,0.4196
66,33,97.739442,62.322,61.8,0.8,1.40869,1.5,2.966235,efficientdet_lite4_detection_metadata_2,0.4196
67,33,99.124333,64.757,64.7,84.6,1.384891,1.5,2.966235,efficientdet_lite4_detection_metadata_2,0.4196
68,34,100.682152,61.348,61.3,1.4,1.384891,1.5,2.94271,efficientdet_lite4_detection_metadata_2,0.4196
69,34,102.068811,65.731,64.7,84.7,1.386659,1.5,2.94271,efficientdet_lite4_detection_metadata_2,0.4196
