,iterator_record,time_record,temp_record_CPU,temp_record_GPU,cpu_record,processing_duration_record,pause_duration_record,loop_duration_record,net_record,avg_accuracy_record,action_record
0,0,0.0,52.582,52.1,0.0,0.0,0.0,0.0,efficientdet_lite4_detection_metadata_2,0.4196,0
1,0,1.913762,54.043,55.5,8.0,1.913762,0.0,0.0,efficientdet_lite4_detection_metadata_2,0.4196,0
2,1,1.9960670000000003,54.53,54.0,44.7,1.913762,0.0,1.996067,efficientdet_lite4_detection_metadata_2,0.4196,5
3,1,3.575337,55.991,55.5,82.8,1.57927,0.0,1.996067,efficientdet_lite4_detection_metadata_2,0.4196,5
4,2,3.65139,56.478,56.0,50.0,1.57927,0.0,1.655323,efficientdet_lite4_detection_metadata_2,0.4196,5
5,2,5.210323,57.452,57.4,81.9,1.558933,0.0,1.655323,efficientdet_lite3_detection_metadata_1,0.4196,5
6,3,5.287586,57.939,57.4,48.7,1.558933,0.756946,1.636196,efficientdet_lite3_detection_metadata_1,0.4196,4
7,3,6.050521,58.426,56.9,76.6,0.762935,0.756946,1.636196,efficientdet_lite2_detection_metadata_1,0.4196,4
8,4,6.888267,55.017,55.5,7.8,0.762935,1.0094778,1.600681,efficientdet_lite2_detection_metadata_1,0.4196,4
9,4,7.355295,58.426,57.4,70.6,0.467028,1.0094778,1.600681,efficientdet_lite1_detection_metadata_1,0.4196,4
10,5,8.444355999999999,55.991,56.0,6.0,0.467028,1.1122159999999999,1.556089,efficientdet_lite1_detection_metadata_1,0.4196,4
11,5,8.818793,56.965,56.9,65.5,0.374437,1.1122159999999999,1.556089,efficientdet_lite1_detection_metadata_1,0.4196,4
12,6,10.008977999999999,55.017,55.0,5.3,0.374437,0.0,1.564622,efficientdet_lite1_detection_metadata_1,0.4196,6
13,6,10.379684,56.965,56.9,68.7,0.370706,0.0,1.564622,efficientdet_lite0_detection_metadata_1,0.4196,6
14,7,10.461198999999999,56.478,56.9,44.7,0.370706,1.2032482,0.452221,efficientdet_lite0_detection_metadata_1,0.34946,4
15,7,10.698388,56.965,57.4,68.6,0.237189,1.2032482,0.452221,efficientdet_lite0_detection_metadata_1,0.34946,4
16,8,12.004627999999999,54.53,55.5,5.4,0.237189,1.2032482,1.543429,efficientdet_lite0_detection_metadata_1,0.31692,4
17,8,12.280791999999998,55.991,56.0,67.4,0.276164,1.2032482,1.543429,efficientdet_lite1_detection_metadata_1,0.31692,4
18,9,13.561891999999999,54.53,55.0,4.9,0.276164,1.1122159999999999,1.557264,efficientdet_lite1_detection_metadata_1,0.29290000000000005,5
19,9,13.923682999999999,55.991,56.4,70.5,0.361791,1.1122159999999999,1.557264,efficientdet_lite2_detection_metadata_1,0.29290000000000005,5
20,10,15.114140999999998,53.556,55.0,6.7,0.361791,1.0094778,1.552249,efficientdet_lite2_detection_metadata_1,0.28606,5
21,10,15.604430999999998,56.478,56.0,68.6,0.49029,1.0094778,1.552249,efficientdet_lite3_detection_metadata_1,0.28606,5
22,11,16.692223999999996,54.043,54.5,5.8,0.49029,0.756946,1.578083,efficientdet_lite3_detection_metadata_1,0.29290000000000005,5
23,11,17.432567999999996,57.452,56.0,76.7,0.740344,0.756946,1.578083,efficientdet_lite3_detection_metadata_1,0.29290000000000005,5
24,12,18.268004999999995,55.017,55.5,7.8,0.740344,0.0,1.575781,efficientdet_lite3_detection_metadata_1,0.30720000000000003,6
25,12,18.992026999999997,56.965,57.4,77.5,0.724022,0.0,1.575781,efficientdet_lite2_detection_metadata_1,0.30720000000000003,6
