,avg_accuracy_record,cpu_record,iterator_record,loop_duration_record,net_record,pause_duration_record,processing_duration_record,temp_record_CPU,time_record
0,0.4196,0.0,0,0.0,efficientdet_lite4_detection_metadata_2,0.0,0.0,54.0,0.0
1,0.4196,5.7,0,0.0,efficientdet_lite4_detection_metadata_2,0.0,1.333365,51.0,1.333365
2,0.4196,100.0,1,1.334126,efficientdet_lite4_detection_metadata_2,0.0,1.333365,51.0,1.3341260000000001
3,0.4196,86.1,1,1.334126,efficientdet_lite2_detection_metadata_1,0.0,1.323311,51.5,2.657437
4,0.4196,0.0,2,1.324067,efficientdet_lite2_detection_metadata_1,0.0,1.323311,51.5,2.6581930000000003
5,0.4196,77.0,2,1.324067,efficientdet_lite0_detection_metadata_1,0.0,0.338128,54.0,2.996321
6,0.4196,0.0,3,0.338915,efficientdet_lite0_detection_metadata_1,0.0,0.338128,54.0,2.997108
7,0.4196,68.5,3,0.338915,efficientdet_lite1_detection_metadata_1,0.0,0.131166,52.5,3.1282739999999998
8,0.4196,0.0,4,0.131934,efficientdet_lite1_detection_metadata_1,0.0,0.131166,52.5,3.1290419999999997
9,0.4196,75.3,4,0.131934,efficientdet_lite1_detection_metadata_1,0.0,0.216981,52.5,3.3460229999999997
10,0.4196,0.0,5,0.21767,efficientdet_lite1_detection_metadata_1,0.0,0.216981,52.5,3.3467119999999997
11,0.4196,76.5,5,0.21767,efficientdet_lite1_detection_metadata_1,0.0,0.211774,53.0,3.558486
12,0.30262,50.0,6,0.21392,efficientdet_lite1_detection_metadata_1,1.3972568892288686,0.211774,53.0,3.5606319999999996
13,0.30262,77.1,6,0.21392,efficientdet_lite2_detection_metadata_1,1.3972568892288686,0.208629,52.0,3.7692609999999998
14,0.30262,2.1,7,1.622705,efficientdet_lite2_detection_metadata_1,1.2862848892288685,0.208629,50.5,5.183337
15,0.30262,78.9,7,1.622705,efficientdet_lite2_detection_metadata_1,1.2862848892288685,0.328576,51.5,5.511913
16,0.31917999999999996,2.3,8,1.630211,efficientdet_lite2_detection_metadata_1,1.2441218652528887,0.328576,50.5,6.813548
17,0.31917999999999996,78.9,8,1.630211,efficientdet_lite2_detection_metadata_1,1.2441218652528887,0.331675,51.5,7.145223
18,0.3260199999999999,2.8,9,1.589621,efficientdet_lite2_detection_metadata_1,1.2273415787759017,0.331675,50.5,8.403168999999998
