,iterator_record,time_record,temp_record_CPU,cpu_record,processing_duration_record,pause_duration_record,loop_duration_record,net_record,avg_accuracy_record,action_record
0,0,0.0,40.0,0.0,0.0,0.0,0.0,efficientdet_lite4_detection_metadata_2,0.4196,0
1,0,1.384575,40.5,71.0,1.384575,0.0,0.0,efficientdet_lite3_detection_metadata_1,0.4196,0
2,1,1.4158439999999999,40.5,30.8,1.384575,0.7643742,1.415844,efficientdet_lite3_detection_metadata_1,0.4196,4
3,1,1.9959099999999999,40.0,81.7,0.580066,0.7643742,1.415844,efficientdet_lite2_detection_metadata_1,0.4196,4
4,2,2.789413,39.0,3.8,0.580066,1.01949,1.373569,efficientdet_lite2_detection_metadata_1,0.4196,4
5,2,3.1195760000000003,40.0,73.3,0.330163,1.01949,1.373569,efficientdet_lite2_detection_metadata_1,0.4196,4
6,3,4.163150000000001,38.5,2.6,0.330163,0.0,1.373737,efficientdet_lite2_detection_metadata_1,0.4196,6
7,3,4.491348,40.0,75.3,0.328198,0.0,1.373737,efficientdet_lite2_detection_metadata_1,0.4196,6
8,4,4.514082,39.5,22.2,0.328198,0.0,0.350932,efficientdet_lite2_detection_metadata_1,0.4196,6
9,4,4.841672,39.5,75.7,0.32759,0.0,0.350932,efficientdet_lite3_detection_metadata_1,0.4196,6
10,5,4.864457,39.5,25.0,0.32759,0.7643742,0.350375,efficientdet_lite3_detection_metadata_1,0.4196,5
11,5,5.450314,39.5,81.2,0.585857,0.7643742,0.350375,efficientdet_lite2_detection_metadata_1,0.4196,5
12,6,6.239424,38.5,4.4,0.585857,1.01949,1.374967,efficientdet_lite2_detection_metadata_1,0.4196,4
13,6,6.573970999999999,40.5,73.8,0.334547,1.01949,1.374967,efficientdet_lite2_detection_metadata_1,0.4196,4
14,7,7.618836,38.5,3.1,0.334547,0.0,1.379412,efficientdet_lite2_detection_metadata_1,0.34716,6
15,7,7.941414,40.0,74.8,0.322578,0.0,1.379412,efficientdet_lite2_detection_metadata_1,0.34716,6
16,8,7.964468999999999,39.5,30.0,0.322578,0.0,0.345633,efficientdet_lite2_detection_metadata_1,0.34716,3
17,8,8.295212,40.0,75.9,0.330743,0.0,0.345633,efficientdet_lite1_detection_metadata_1,0.34716,3
18,9,8.318969,40.0,22.2,0.330743,1.1300700000000001,0.3545,efficientdet_lite1_detection_metadata_1,0.34715999999999997,4
19,9,8.536150999999998,40.5,70.8,0.217182,1.1300700000000001,0.3545,efficientdet_lite1_detection_metadata_1,0.34715999999999997,4
20,10,9.691766999999999,38.0,2.2,0.217182,0.0,1.372798,efficientdet_lite1_detection_metadata_1,0.34032,6
21,10,9.914139999999998,40.5,67.3,0.222373,0.0,1.372798,efficientdet_lite2_detection_metadata_1,0.34032,6
22,11,9.937719,40.5,30.0,0.222373,1.01949,0.245952,efficientdet_lite2_detection_metadata_1,0.32602000000000003,5
23,11,10.273377,40.0,74.1,0.335658,1.01949,0.245952,efficientdet_lite2_detection_metadata_1,0.32602000000000003,5
24,12,11.318195999999999,38.5,3.8,0.335658,1.01949,1.380477,efficientdet_lite2_detection_metadata_1,0.32602000000000003,3
25,12,11.648506,40.0,73.5,0.33031,1.01949,1.380477,efficientdet_lite1_detection_metadata_1,0.32602000000000003,3
26,13,12.694142,38.5,2.6,0.33031,1.1300700000000001,1.375946,efficientdet_lite1_detection_metadata_1,0.32602000000000003,4
27,13,12.915716,39.5,68.0,0.221574,1.1300700000000001,1.375946,efficientdet_lite1_detection_metadata_1,0.32602000000000003,4
28,14,14.070670999999999,38.0,3.0,0.221574,0.0,1.376529,efficientdet_lite1_detection_metadata_1,0.31917999999999996,6
29,14,14.307395999999999,40.0,66.4,0.236725,0.0,1.376529,efficientdet_lite0_detection_metadata_1,0.31917999999999996,6
30,15,14.330618,39.5,33.3,0.236725,1.2209948000000002,0.259947,efficientdet_lite0_detection_metadata_1,0.31917999999999996,4
31,15,14.462558,40.5,63.9,0.13194,1.2209948000000002,0.259947,efficientdet_lite0_detection_metadata_1,0.31917999999999996,4
32,16,15.709499,38.5,2.2,0.13194,1.2209948000000002,1.378881,efficientdet_lite0_detection_metadata_1,0.30945999999999996,4
33,16,15.838548,39.5,59.7,0.129049,1.2209948000000002,1.378881,efficientdet_lite0_detection_metadata_1,0.30945999999999996,4
34,17,17.084609,38.5,3.0,0.129049,1.2209948000000002,1.37511,efficientdet_lite0_detection_metadata_1,0.29290000000000005,4
35,17,17.214545,40.0,60.0,0.129936,1.2209948000000002,1.37511,efficientdet_lite1_detection_metadata_1,0.29290000000000005,4
36,18,18.461141,38.5,3.0,0.129936,1.1300700000000001,1.376532,efficientdet_lite1_detection_metadata_1,0.27634,5
