,iterator_record,time_record,temp_record_CPU,temp_record_GPU,cpu_record,processing_duration_record,pause_duration_record,loop_duration_record,net_record,avg_accuracy_record,action_record
0,0,0.0,52.582,53.5,0.0,0.0,0.0,0.0,efficientdet_lite4_detection_metadata_2,0.4196,0
1,0,1.597949,54.043,54.5,5.3,1.597949,0.0,0.0,efficientdet_lite3_detection_metadata_1,0.4196,0
2,1,1.6988109999999998,54.043,54.0,53.1,1.597949,0.8135078000000001,1.698811,efficientdet_lite3_detection_metadata_1,0.4196,4
3,1,2.505028,55.504,55.5,78.1,0.806217,0.8135078000000001,1.698811,efficientdet_lite4_detection_metadata_2,0.4196,4
4,2,3.4175619999999993,53.556,54.0,12.7,0.806217,0.0,1.718751,efficientdet_lite4_detection_metadata_2,0.4196,5
5,2,4.965335999999999,55.504,56.9,82.7,1.547774,0.0,1.718751,efficientdet_lite3_detection_metadata_1,0.4196,5
6,3,5.053954999999998,56.478,56.9,55.8,1.547774,0.8135078000000001,1.636393,efficientdet_lite3_detection_metadata_1,0.4196,4
7,3,5.8316789999999985,56.965,56.9,77.7,0.777724,0.8135078000000001,1.636393,efficientdet_lite3_detection_metadata_1,0.4196,4
8,4,6.737627999999998,55.504,56.0,11.6,0.777724,0.0,1.683673,efficientdet_lite3_detection_metadata_1,0.4196,6
9,4,7.467667999999998,58.426,57.4,76.6,0.73004,0.0,1.683673,efficientdet_lite2_detection_metadata_1,0.4196,6
10,5,7.552986999999997,56.478,56.4,48.8,0.73004,1.0596316000000001,0.815359,efficientdet_lite2_detection_metadata_1,0.4196,4
11,5,8.075479999999997,58.426,57.9,70.0,0.522493,1.0596316000000001,0.815359,efficientdet_lite3_detection_metadata_1,0.4196,4
12,6,9.221339999999996,55.504,55.5,9.0,0.522493,0.8135078000000001,1.668353,efficientdet_lite3_detection_metadata_1,0.4196,5
13,6,9.951951999999997,57.939,57.9,75.7,0.730612,0.8135078000000001,1.668353,efficientdet_lite4_detection_metadata_2,0.4196,5
14,7,10.855373999999996,55.504,56.0,11.1,0.730612,0.0,1.634034,efficientdet_lite4_detection_metadata_2,0.37806,5
15,7,12.323758999999995,57.939,59.4,82.6,1.468385,0.0,1.634034,efficientdet_lite4_detection_metadata_2,0.37806,5
16,8,12.412468999999996,58.426,58.4,48.8,1.468385,0.0,1.557095,efficientdet_lite4_detection_metadata_2,0.37805999999999995,5
17,8,13.883973999999997,59.887,59.9,83.6,1.471505,0.0,1.557095,efficientdet_lite4_detection_metadata_2,0.37805999999999995,5
18,9,13.970175999999997,58.426,58.9,46.2,1.471505,0.0,1.557707,efficientdet_lite4_detection_metadata_2,0.38658,6
19,9,15.464929999999997,60.861,60.3,82.9,1.494754,0.0,1.557707,efficientdet_lite4_detection_metadata_2,0.38658,6
20,10,15.551746999999995,60.374,60.8,47.6,1.494754,0.0,1.581571,efficientdet_lite4_detection_metadata_2,0.39509999999999995,5
21,10,17.038134999999997,61.348,60.8,83.5,1.486388,0.0,1.581571,efficientdet_lite4_detection_metadata_2,0.39509999999999995,5
22,11,17.125300999999997,60.861,61.3,52.3,1.486388,0.0,1.573554,efficientdet_lite4_detection_metadata_2,0.41107999999999995,5
23,11,18.623441999999997,61.348,60.8,82.8,1.498141,0.0,1.573554,efficientdet_lite4_detection_metadata_2,0.41107999999999995,5
24,12,18.712208999999998,61.835,60.3,47.6,1.498141,0.0,1.586908,efficientdet_lite4_detection_metadata_2,0.4196,3
25,12,20.542613999999997,61.348,61.8,82.3,1.830405,0.0,1.586908,efficientdet_lite3_detection_metadata_1,0.4196,3
26,13,20.628041999999997,60.374,61.3,46.3,1.830405,0.8135078000000001,1.915833,efficientdet_lite3_detection_metadata_1,0.4196,4
27,13,21.365491,62.322,61.8,75.7,0.737449,0.8135078000000001,1.915833,efficientdet_lite2_detection_metadata_1,0.4196,4
28,14,22.266906999999996,60.861,60.3,10.7,0.737449,1.0596316000000001,1.638865,efficientdet_lite2_detection_metadata_1,0.41107999999999995,4
29,14,22.733977999999997,62.809,60.8,70.6,0.467071,1.0596316000000001,1.638865,efficientdet_lite1_detection_metadata_1,0.41107999999999995,4
30,15,23.880249999999997,58.426,59.4,9.0,0.467071,1.183081,1.613343,efficientdet_lite1_detection_metadata_1,0.39509999999999995,4
31,15,24.340703999999995,61.348,61.3,66.0,0.460454,1.183081,1.613343,efficientdet_lite0_detection_metadata_1,0.39509999999999995,4
32,16,25.615537999999997,58.913,58.4,7.7,0.460454,1.2541026000000002,1.735288,efficientdet_lite0_detection_metadata_1,0.37228,4
33,16,25.903633999999997,59.887,59.4,65.1,0.288096,1.2541026000000002,1.735288,efficientdet_lite0_detection_metadata_1,0.37228,4
34,17,27.251616,57.939,58.9,7.4,0.288096,1.2541026000000002,1.636078,efficientdet_lite0_detection_metadata_1,0.33974000000000004,4
35,17,27.622321,58.913,60.3,69.2,0.370705,1.2541026000000002,1.636078,efficientdet_lite0_detection_metadata_1,0.33974000000000004,4
36,18,28.966462,56.965,56.9,8.1,0.370705,0.0,1.714846,efficientdet_lite0_detection_metadata_1,0.30720000000000003,6
37,18,29.373545,58.913,59.4,71.6,0.407083,0.0,1.714846,efficientdet_lite0_detection_metadata_1,0.30720000000000003,6
38,19,29.463933,59.4,58.4,48.9,0.407083,0.0,0.497471,efficientdet_lite0_detection_metadata_1,0.28318000000000004,4
39,19,29.782331,58.913,59.4,64.1,0.318398,0.0,0.497471,efficientdet_lite0_detection_metadata_1,0.28318000000000004,4
40,20,29.869026,58.913,58.4,45.2,0.318398,0.0,0.405093,efficientdet_lite0_detection_metadata_1,0.26661999999999997,3
41,20,30.187532,59.887,58.9,68.8,0.318506,0.0,0.405093,efficientdet_lite0_detection_metadata_1,0.26661999999999997,3
42,21,30.275357000000003,59.4,58.4,48.8,0.318506,0.0,0.406331,efficientdet_lite0_detection_metadata_1,0.2569,6
43,21,30.594951000000002,60.374,59.9,61.0,0.319594,0.0,0.406331,efficientdet_lite0_detection_metadata_1,0.2569,6
44,22,30.687349000000005,59.887,59.4,44.7,0.319594,0.0,0.411992,efficientdet_lite0_detection_metadata_1,0.2569,6
45,22,31.016412000000006,58.913,59.4,62.3,0.329063,0.0,0.411992,efficientdet_lite1_detection_metadata_1,0.2569,6
46,23,31.101982000000003,58.913,58.9,46.2,0.329063,1.183081,0.414633,efficientdet_lite1_detection_metadata_1,0.2569,5
47,23,31.504196000000004,60.374,59.9,69.8,0.402214,1.183081,0.414633,efficientdet_lite2_detection_metadata_1,0.2569,5
48,24,32.785187,57.939,57.9,8.0,0.402214,1.0596316000000001,1.683205,efficientdet_lite2_detection_metadata_1,0.26661999999999997,5
49,24,33.276827,59.4,59.9,65.8,0.49164,1.0596316000000001,1.683205,efficientdet_lite2_detection_metadata_1,0.26661999999999997,5
50,25,34.43003,57.939,58.9,8.5,0.49164,0.0,1.644843,efficientdet_lite2_detection_metadata_1,0.28318000000000004,6
51,25,34.963887,59.4,58.9,67.1,0.533857,0.0,1.644843,efficientdet_lite1_detection_metadata_1,0.28318000000000004,6
52,26,35.049356,58.913,59.4,47.5,0.533857,1.183081,0.619326,efficientdet_lite1_detection_metadata_1,0.29974,4
53,26,35.450520000000004,59.4,60.3,71.4,0.401164,1.183081,0.619326,efficientdet_lite2_detection_metadata_1,0.29974,4
54,27,36.729870000000005,57.939,58.9,7.9,0.401164,1.0596316000000001,1.680514,efficientdet_lite2_detection_metadata_1,0.30945999999999996,5
55,27,37.31260700000001,60.374,58.9,67.5,0.582737,1.0596316000000001,1.680514,efficientdet_lite3_detection_metadata_1,0.30945999999999996,5
56,28,38.461902,56.965,57.4,7.6,0.582737,0.8135078000000001,1.732032,efficientdet_lite3_detection_metadata_1,0.32602000000000003,5
57,28,39.203171000000005,61.348,59.4,76.3,0.741269,0.8135078000000001,1.732032,efficientdet_lite3_detection_metadata_1,0.32602000000000003,5
58,29,40.104974,58.913,58.9,11.4,0.741269,0.0,1.643072,efficientdet_lite3_detection_metadata_1,0.34032,6
59,29,40.816079,60.374,59.9,77.5,0.711105,0.0,1.643072,efficientdet_lite3_detection_metadata_1,0.34032,6
60,30,40.908533,59.4,60.8,47.8,0.711105,0.0,0.803559,efficientdet_lite3_detection_metadata_1,0.34778000000000003,6
61,30,41.720647,61.348,60.3,75.5,0.812114,0.0,0.803559,efficientdet_lite2_detection_metadata_1,0.34778000000000003,6
62,31,41.816699,59.4,60.3,46.8,0.812114,1.0596316000000001,0.908166,efficientdet_lite2_detection_metadata_1,0.35523999999999994,4
63,31,42.320721,61.835,60.8,70.6,0.504022,1.0596316000000001,0.908166,efficientdet_lite1_detection_metadata_1,0.35523999999999994,4
64,32,43.468917,58.913,59.4,8.7,0.504022,1.183081,1.652218,efficientdet_lite1_detection_metadata_1,0.36208,4
65,32,43.846804,61.348,60.8,67.6,0.377887,1.183081,1.652218,efficientdet_lite1_detection_metadata_1,0.36208,4
66,33,45.121182,57.939,59.4,8.0,0.377887,1.183081,1.652265,efficientdet_lite1_detection_metadata_1,0.35524,3
67,33,45.593391999999994,60.374,60.3,71.0,0.47221,1.183081,1.652265,efficientdet_lite1_detection_metadata_1,0.35524,3
68,34,46.865361,58.426,58.4,7.9,0.47221,1.183081,1.744179,efficientdet_lite1_detection_metadata_1,0.34094,3
69,34,47.322271,60.861,60.3,69.4,0.45691,1.183081,1.744179,efficientdet_lite1_detection_metadata_1,0.34094,3
70,35,48.591819,57.452,56.9,8.7,0.45691,0.0,1.726458,efficientdet_lite1_detection_metadata_1,0.32664,6
71,35,48.966016,60.861,58.9,68.7,0.374197,0.0,1.726458,efficientdet_lite0_detection_metadata_1,0.32664,6
72,36,49.052746,58.426,59.4,50.0,0.374197,1.2541026000000002,0.460927,efficientdet_lite0_detection_metadata_1,0.31234,4
73,36,49.380466999999996,58.426,59.9,63.4,0.327721,1.2541026000000002,0.460927,efficientdet_lite0_detection_metadata_1,0.31234,4
74,37,50.722513,58.913,58.4,7.3,0.327721,0.0,1.669767,efficientdet_lite0_detection_metadata_1,0.29578,6
75,37,51.006759,58.913,58.9,61.5,0.284246,0.0,1.669767,efficientdet_lite0_detection_metadata_1,0.29578,6
76,38,51.099783,58.913,59.4,54.2,0.284246,0.0,0.37727,efficientdet_lite0_detection_metadata_1,0.28606,6
77,38,51.414782,59.887,58.9,62.6,0.314999,0.0,0.37727,efficientdet_lite0_detection_metadata_1,0.28606,6
78,39,51.502193000000005,59.4,60.3,47.6,0.314999,0.0,0.40241,efficientdet_lite0_detection_metadata_1,0.27634,3
79,39,51.828047000000005,59.4,60.3,62.0,0.325854,0.0,0.40241,efficientdet_lite1_detection_metadata_1,0.27634,3
80,40,51.917536000000005,59.4,59.9,50.0,0.325854,1.183081,0.415343,efficientdet_lite1_detection_metadata_1,0.26661999999999997,5
81,40,52.309386,59.4,60.8,69.8,0.39185,1.183081,0.415343,efficientdet_lite2_detection_metadata_1,0.26661999999999997,5
82,41,53.57980800000001,57.939,58.4,8.6,0.39185,1.0596316000000001,1.662272,efficientdet_lite2_detection_metadata_1,0.26661999999999997,5
83,41,54.177417000000005,60.374,59.4,70.6,0.597609,1.0596316000000001,1.662272,efficientdet_lite2_detection_metadata_1,0.26661999999999997,5
84,42,55.325373000000006,58.913,58.9,9.0,0.597609,1.0596316000000001,1.745565,efficientdet_lite2_detection_metadata_1,0.28318000000000004,3
85,42,55.876369000000004,59.4,59.9,69.7,0.550996,1.0596316000000001,1.745565,efficientdet_lite2_detection_metadata_1,0.28318000000000004,3
86,43,57.023917000000004,57.939,59.4,8.8,0.550996,1.0596316000000001,1.698544,efficientdet_lite2_detection_metadata_1,0.29974,3
87,43,57.57948400000001,59.887,59.9,68.4,0.555567,1.0596316000000001,1.698544,efficientdet_lite3_detection_metadata_1,0.29974,3
88,44,58.725395000000006,58.426,57.4,9.2,0.555567,0.8135078000000001,1.701478,efficientdet_lite3_detection_metadata_1,0.3162999999999999,5
89,44,59.444244000000005,60.861,60.8,78.1,0.718849,0.8135078000000001,1.701478,efficientdet_lite3_detection_metadata_1,0.3162999999999999,5
90,45,60.34496000000001,58.913,59.9,11.4,0.718849,0.0,1.619565,efficientdet_lite3_detection_metadata_1,0.34032,6
91,45,61.07995900000001,61.348,61.3,75.9,0.734999,0.0,1.619565,efficientdet_lite3_detection_metadata_1,0.34032,6
92,46,61.17251800000001,61.348,60.3,48.9,0.734999,0.0,0.827558,efficientdet_lite3_detection_metadata_1,0.35462000000000005,3
93,46,61.93093900000001,61.835,61.8,76.5,0.758421,0.0,0.827558,efficientdet_lite2_detection_metadata_1,0.35462000000000005,3
94,47,62.01786100000001,60.374,61.8,50.0,0.758421,1.0596316000000001,0.845343,efficientdet_lite2_detection_metadata_1,0.36208,4
95,47,62.53663900000001,61.835,60.8,68.7,0.518778,1.0596316000000001,0.845343,efficientdet_lite1_detection_metadata_1,0.36208,4
96,48,63.68207700000001,60.861,60.3,8.8,0.518778,1.183081,1.664216,efficientdet_lite1_detection_metadata_1,0.36208,4
97,48,64.061199,61.348,60.8,63.9,0.379122,1.183081,1.664216,efficientdet_lite2_detection_metadata_1,0.36208,4
