,iterator_record,time_record,temp_record_CPU,cpu_record,processing_duration_record,pause_duration_record,loop_duration_record,net_record,avg_accuracy_record,action_record
0,0,0.0,50.5,0.0,0.0,1.0,0.0,efficientdet_lite0_detection_metadata_1,0.4196,NA
1,0,0.13698,42.5,3.0,0.13698,1.0,0.0,efficientdet_lite0_detection_metadata_1,0.4196,NA
2,1,1.139491,40.5,3.7,0.13698,1.0,1.139491,efficientdet_lite0_detection_metadata_1,0.4196,NA
3,1,1.275514,42.5,64.8,0.136023,1.0,1.139491,efficientdet_lite0_detection_metadata_1,0.4196,NA
4,2,2.27799,40.5,2.5,0.136023,1.0,1.138499,efficientdet_lite0_detection_metadata_1,0.4196,NA
5,2,2.419081,42.5,66.7,0.141091,1.0,1.138499,efficientdet_lite0_detection_metadata_1,0.4196,NA
6,3,3.4215969999999998,40.5,2.5,0.141091,1.0,1.143607,efficientdet_lite0_detection_metadata_1,0.4196,NA
7,3,3.5598379999999996,42.5,63.2,0.138241,1.0,1.143607,efficientdet_lite0_detection_metadata_1,0.4196,NA
8,4,4.562354,40.5,2.8,0.138241,1.0,1.140757,efficientdet_lite0_detection_metadata_1,0.4196,NA
9,4,4.700106,42.5,64.9,0.137752,1.0,1.140757,efficientdet_lite0_detection_metadata_1,0.4196,NA
10,5,5.702567,40.0,3.7,0.137752,1.0,1.140213,efficientdet_lite0_detection_metadata_1,0.4196,NA
11,5,5.837870000000001,42.5,64.3,0.135303,1.0,1.140213,efficientdet_lite0_detection_metadata_1,0.4196,NA
12,6,6.843059,40.5,3.0,0.135303,1.0,1.140492,efficientdet_lite0_detection_metadata_1,0.2569,NA
13,6,6.9746570000000006,42.5,66.7,0.131598,1.0,1.140492,efficientdet_lite0_detection_metadata_1,0.2569,NA
14,7,7.979215,40.5,2.3,0.131598,1.0,1.136156,efficientdet_lite0_detection_metadata_1,0.2569,NA
15,7,8.108694999999999,42.0,69.1,0.12948,1.0,1.136156,efficientdet_lite0_detection_metadata_1,0.2569,NA
16,8,9.113506,40.5,2.0,0.12948,1.0,1.134291,efficientdet_lite0_detection_metadata_1,0.2569,NA
17,8,9.246689,42.5,66.7,0.133183,1.0,1.134291,efficientdet_lite0_detection_metadata_1,0.2569,NA
18,9,10.251914999999999,40.5,2.5,0.133183,1.0,1.138409,efficientdet_lite0_detection_metadata_1,0.2569,NA
