,iterator_record,time_record,temp_record_CPU,cpu_record,processing_duration_record,pause_duration_record,loop_duration_record,net_record,avg_accuracy_record,action_record
0,0,0.0,47.0,0.0,0.0,0.0,0.0,efficientdet_lite4_detection_metadata_2,0.4196,NA
1,0,1.373775,41.5,13.2,1.373775,0.0,0.0,efficientdet_lite4_detection_metadata_2,0.4196,NA
2,1,1.3750190000000002,41.5,0.0,1.373775,0.0,1.375019,efficientdet_lite4_detection_metadata_2,0.4196,NA
3,1,2.719156,42.5,85.8,1.344137,0.0,1.375019,efficientdet_lite4_detection_metadata_2,0.4196,NA
4,2,2.7199780000000002,42.5,0.0,1.344137,0.0,1.344959,efficientdet_lite4_detection_metadata_2,0.4196,NA
5,2,4.079807000000001,42.5,85.5,1.359829,0.0,1.344959,efficientdet_lite4_detection_metadata_2,0.4196,NA
6,3,4.080676,42.5,0.0,1.359829,0.0,1.360698,efficientdet_lite4_detection_metadata_2,0.4196,NA
7,3,5.4362960000000005,42.5,85.3,1.35562,0.0,1.360698,efficientdet_lite4_detection_metadata_2,0.4196,NA
8,4,5.4371100000000006,42.5,0.0,1.35562,0.0,1.356434,efficientdet_lite4_detection_metadata_2,0.4196,NA
9,4,6.7934030000000005,42.5,85.1,1.356293,0.0,1.356434,efficientdet_lite4_detection_metadata_2,0.4196,NA
10,5,6.794218,42.5,0.0,1.356293,0.0,1.357108,efficientdet_lite4_detection_metadata_2,0.4196,NA
11,5,8.140024,42.5,85.9,1.345806,0.0,1.357108,efficientdet_lite4_detection_metadata_2,0.4196,NA
12,6,8.142395,42.5,0.0,1.345806,0.0,1.348177,efficientdet_lite4_detection_metadata_2,0.4196,NA
13,6,9.482807000000001,42.5,85.8,1.340412,0.0,1.348177,efficientdet_lite4_detection_metadata_2,0.4196,NA
14,7,9.485125,42.5,0.0,1.340412,0.0,1.34273,efficientdet_lite4_detection_metadata_2,0.4196,NA
15,7,10.826799,42.5,85.6,1.341674,0.0,1.34273,efficientdet_lite4_detection_metadata_2,0.4196,NA
16,8,10.829126,42.5,0.0,1.341674,0.0,1.344001,efficientdet_lite4_detection_metadata_2,0.4196,NA
17,8,12.179504000000001,43.0,85.5,1.350378,0.0,1.344001,efficientdet_lite4_detection_metadata_2,0.4196,NA
18,9,12.181908,43.0,50.0,1.350378,0.0,1.352782,efficientdet_lite4_detection_metadata_2,0.4196,NA
19,9,13.52764,43.0,85.9,1.345732,0.0,1.352782,efficientdet_lite4_detection_metadata_2,0.4196,NA
20,10,13.530037,43.0,0.0,1.345732,0.0,1.348129,efficientdet_lite4_detection_metadata_2,0.4196,NA
21,10,14.885697,43.0,85.5,1.35566,0.0,1.348129,efficientdet_lite4_detection_metadata_2,0.4196,NA
22,11,14.88806,43.0,0.0,1.35566,0.0,1.358023,efficientdet_lite4_detection_metadata_2,0.4196,NA
23,11,16.245219,43.0,85.1,1.357159,0.0,1.358023,efficientdet_lite4_detection_metadata_2,0.4196,NA
24,12,16.247604,43.0,100.0,1.357159,0.0,1.359544,efficientdet_lite4_detection_metadata_2,0.4196,NA
25,12,17.604879999999998,43.0,85.3,1.357276,0.0,1.359544,efficientdet_lite4_detection_metadata_2,0.4196,NA
26,13,17.607279,43.0,0.0,1.357276,0.0,1.359675,efficientdet_lite4_detection_metadata_2,0.4196,NA
27,13,18.958423999999997,43.5,85.5,1.351145,0.0,1.359675,efficientdet_lite4_detection_metadata_2,0.4196,NA
28,14,18.960744,43.5,0.0,1.351145,0.0,1.353465,efficientdet_lite4_detection_metadata_2,0.4196,NA
29,14,20.309683,43.5,85.7,1.348939,0.0,1.353465,efficientdet_lite4_detection_metadata_2,0.4196,NA
30,15,20.312026999999997,43.0,0.0,1.348939,0.0,1.351283,efficientdet_lite4_detection_metadata_2,0.4196,NA
31,15,21.668258999999995,43.5,85.2,1.356232,0.0,1.351283,efficientdet_lite4_detection_metadata_2,0.4196,NA
32,16,21.670627999999997,43.5,0.0,1.356232,0.0,1.358601,efficientdet_lite4_detection_metadata_2,0.4196,NA
33,16,23.023228999999997,43.5,85.5,1.352601,0.0,1.358601,efficientdet_lite4_detection_metadata_2,0.4196,NA
34,17,23.025615999999996,43.5,0.0,1.352601,0.0,1.354988,efficientdet_lite4_detection_metadata_2,0.4196,NA
35,17,24.380555999999995,43.5,85.3,1.35494,0.0,1.354988,efficientdet_lite4_detection_metadata_2,0.4196,NA
36,18,24.382879999999997,43.5,0.0,1.35494,0.0,1.357264,efficientdet_lite4_detection_metadata_2,0.4196,NA
37,18,25.736753999999998,43.5,85.5,1.353874,0.0,1.357264,efficientdet_lite4_detection_metadata_2,0.4196,NA
38,19,25.739072999999998,43.5,0.0,1.353874,0.0,1.356193,efficientdet_lite4_detection_metadata_2,0.4196,NA
39,19,27.102320999999996,43.5,85.0,1.363248,0.0,1.356193,efficientdet_lite4_detection_metadata_2,0.4196,NA
40,20,27.104726999999997,43.5,50.0,1.363248,0.0,1.365654,efficientdet_lite4_detection_metadata_2,0.4196,NA
41,20,28.453942999999995,43.5,85.6,1.349216,0.0,1.365654,efficientdet_lite4_detection_metadata_2,0.4196,NA
42,21,28.456311999999997,43.5,0.0,1.349216,0.0,1.351585,efficientdet_lite4_detection_metadata_2,0.4196,NA
43,21,29.812379999999997,43.5,85.5,1.356068,0.0,1.351585,efficientdet_lite4_detection_metadata_2,0.4196,NA
44,22,29.814757999999998,43.5,50.0,1.356068,0.0,1.358446,efficientdet_lite4_detection_metadata_2,0.4196,NA
45,22,31.166545999999997,44.0,85.3,1.351788,0.0,1.358446,efficientdet_lite4_detection_metadata_2,0.4196,NA
46,23,31.168884999999996,44.0,0.0,1.351788,0.0,1.354127,efficientdet_lite4_detection_metadata_2,0.4196,NA
47,23,32.519884999999995,43.5,85.7,1.351,0.0,1.354127,efficientdet_lite4_detection_metadata_2,0.4196,NA
48,24,32.522262999999995,43.5,50.0,1.351,0.0,1.353378,efficientdet_lite4_detection_metadata_2,0.4196,NA
49,24,33.871137,44.0,85.7,1.348874,0.0,1.353378,efficientdet_lite4_detection_metadata_2,0.4196,NA
50,25,33.873524999999994,44.0,0.0,1.348874,0.0,1.351262,efficientdet_lite4_detection_metadata_2,0.4196,NA
51,25,35.225258999999994,44.0,86.1,1.351734,0.0,1.351262,efficientdet_lite4_detection_metadata_2,0.4196,NA
52,26,35.22761199999999,44.0,0.0,1.351734,0.0,1.354087,efficientdet_lite4_detection_metadata_2,0.4196,NA
53,26,36.582733999999995,44.0,85.1,1.355122,0.0,1.354087,efficientdet_lite4_detection_metadata_2,0.4196,NA
54,27,36.585103999999994,44.0,0.0,1.355122,0.0,1.357492,efficientdet_lite4_detection_metadata_2,0.4196,NA
55,27,37.935160999999994,44.5,85.6,1.350057,0.0,1.357492,efficientdet_lite4_detection_metadata_2,0.4196,NA
