,iterator_record,time_record,temp_record_CPU,cpu_record,processing_duration_record,pause_duration_record,loop_duration_record,net_record,avg_accuracy_record,action_record
0,0,0.0,47.0,0.0,0.0,0.0,0.0,efficientdet_lite4_detection_metadata_2,0.4196,NA
1,0,1.368214,42.0,3.5,1.368214,0.0,0.0,efficientdet_lite4_detection_metadata_2,0.4196,NA
2,1,1.3689340000000003,42.0,0.0,1.368214,0.0,1.368934,efficientdet_lite4_detection_metadata_2,0.4196,NA
3,1,2.7118080000000004,42.0,86.1,1.342874,0.0,1.368934,efficientdet_lite4_detection_metadata_2,0.4196,NA
4,2,2.712517,42.0,0.0,1.342874,0.0,1.343583,efficientdet_lite4_detection_metadata_2,0.4196,NA
5,2,4.066327,42.0,85.5,1.35381,0.0,1.343583,efficientdet_lite4_detection_metadata_2,0.4196,NA
6,3,4.067058,42.0,0.0,1.35381,0.0,1.354541,efficientdet_lite4_detection_metadata_2,0.4196,NA
7,3,5.435064000000001,42.0,85.2,1.368006,0.0,1.354541,efficientdet_lite4_detection_metadata_2,0.4196,NA
8,4,5.435777000000001,42.0,0.0,1.368006,0.0,1.368719,efficientdet_lite4_detection_metadata_2,0.4196,NA
9,4,6.797027000000001,42.5,85.2,1.36125,0.0,1.368719,efficientdet_lite4_detection_metadata_2,0.4196,NA
10,5,6.797740000000001,42.5,0.0,1.36125,0.0,1.361963,efficientdet_lite4_detection_metadata_2,0.4196,NA
11,5,8.148005000000001,42.5,85.8,1.350265,0.0,1.361963,efficientdet_lite4_detection_metadata_2,0.4196,NA
12,6,8.150384,42.5,0.0,1.350265,0.0,1.352644,efficientdet_lite4_detection_metadata_2,0.4196,NA
13,6,9.488286,42.5,86.2,1.337902,0.0,1.352644,efficientdet_lite4_detection_metadata_2,0.4196,NA
14,7,9.490589,42.5,0.0,1.337902,0.0,1.340205,efficientdet_lite4_detection_metadata_2,0.4196,NA
15,7,10.834609,43.0,85.8,1.34402,0.0,1.340205,efficientdet_lite4_detection_metadata_2,0.4196,NA
16,8,10.836975,43.0,0.0,1.34402,0.0,1.346386,efficientdet_lite4_detection_metadata_2,0.4196,NA
17,8,12.184948,42.5,85.8,1.347973,0.0,1.346386,efficientdet_lite4_detection_metadata_2,0.4196,NA
18,9,12.187313000000001,42.5,50.0,1.347973,0.0,1.350338,efficientdet_lite4_detection_metadata_2,0.4196,NA
19,9,13.548977,43.0,85.7,1.361664,0.0,1.350338,efficientdet_lite4_detection_metadata_2,0.4196,NA
20,10,13.551356000000002,43.0,50.0,1.361664,0.0,1.364043,efficientdet_lite4_detection_metadata_2,0.4196,NA
21,10,14.902963000000002,43.0,85.7,1.351607,0.0,1.364043,efficientdet_lite4_detection_metadata_2,0.4196,NA
22,11,14.905278000000001,43.0,0.0,1.351607,0.0,1.353922,efficientdet_lite4_detection_metadata_2,0.4196,NA
23,11,16.264247,43.5,85.2,1.358969,0.0,1.353922,efficientdet_lite4_detection_metadata_2,0.4196,NA
24,12,16.26661,43.5,0.0,1.358969,0.0,1.361332,efficientdet_lite4_detection_metadata_2,0.4196,NA
25,12,17.612432,43.0,85.9,1.345822,0.0,1.361332,efficientdet_lite4_detection_metadata_2,0.4196,NA
26,13,17.614734,43.0,0.0,1.345822,0.0,1.348124,efficientdet_lite4_detection_metadata_2,0.4196,NA
27,13,18.960137999999997,43.0,85.9,1.345404,0.0,1.348124,efficientdet_lite4_detection_metadata_2,0.4196,NA
28,14,18.962449,43.0,0.0,1.345404,0.0,1.347715,efficientdet_lite4_detection_metadata_2,0.4196,NA
29,14,20.310405,43.5,85.9,1.347956,0.0,1.347715,efficientdet_lite4_detection_metadata_2,0.4196,NA
30,15,20.312784,43.5,0.0,1.347956,0.0,1.350335,efficientdet_lite4_detection_metadata_2,0.4196,NA
31,15,21.659281,43.5,85.8,1.346497,0.0,1.350335,efficientdet_lite4_detection_metadata_2,0.4196,NA
32,16,21.661585000000002,43.5,0.0,1.346497,0.0,1.348801,efficientdet_lite4_detection_metadata_2,0.4196,NA
33,16,23.013292000000003,43.5,85.7,1.351707,0.0,1.348801,efficientdet_lite4_detection_metadata_2,0.4196,NA
34,17,23.01566,43.5,50.0,1.351707,0.0,1.354075,efficientdet_lite4_detection_metadata_2,0.4196,NA
35,17,24.361963,43.5,85.9,1.346303,0.0,1.354075,efficientdet_lite4_detection_metadata_2,0.4196,NA
36,18,24.364281000000002,43.5,0.0,1.346303,0.0,1.348621,efficientdet_lite4_detection_metadata_2,0.4196,NA
37,18,25.711000000000002,43.5,85.8,1.346719,0.0,1.348621,efficientdet_lite4_detection_metadata_2,0.4196,NA
38,19,25.71338,43.5,0.0,1.346719,0.0,1.349099,efficientdet_lite4_detection_metadata_2,0.4196,NA
39,19,27.077956,43.5,85.1,1.364576,0.0,1.349099,efficientdet_lite4_detection_metadata_2,0.4196,NA
40,20,27.080266,43.5,0.0,1.364576,0.0,1.366886,efficientdet_lite4_detection_metadata_2,0.4196,NA
41,20,28.430801000000002,44.0,85.9,1.350535,0.0,1.366886,efficientdet_lite4_detection_metadata_2,0.4196,NA
42,21,28.43317,44.0,0.0,1.350535,0.0,1.352904,efficientdet_lite4_detection_metadata_2,0.4196,NA
43,21,29.784621,43.5,85.6,1.351451,0.0,1.352904,efficientdet_lite4_detection_metadata_2,0.4196,NA
44,22,29.786913000000002,43.5,0.0,1.351451,0.0,1.353743,efficientdet_lite4_detection_metadata_2,0.4196,NA
45,22,31.146915000000003,43.5,85.2,1.360002,0.0,1.353743,efficientdet_lite4_detection_metadata_2,0.4196,NA
46,23,31.149245,43.5,0.0,1.360002,0.0,1.362332,efficientdet_lite4_detection_metadata_2,0.4196,NA
47,23,32.497495,44.0,85.8,1.34825,0.0,1.362332,efficientdet_lite4_detection_metadata_2,0.4196,NA
48,24,32.499876,44.0,0.0,1.34825,0.0,1.350631,efficientdet_lite4_detection_metadata_2,0.4196,NA
49,24,33.848774,44.5,85.7,1.348898,0.0,1.350631,efficientdet_lite4_detection_metadata_2,0.4196,NA
50,25,33.851143,44.5,0.0,1.348898,0.0,1.351267,efficientdet_lite4_detection_metadata_2,0.4196,NA
51,25,35.196602,44.0,85.9,1.345459,0.0,1.351267,efficientdet_lite4_detection_metadata_2,0.4196,NA
52,26,35.198958,44.0,0.0,1.345459,0.0,1.347815,efficientdet_lite4_detection_metadata_2,0.4196,NA
53,26,36.552971,44.0,85.6,1.354013,0.0,1.347815,efficientdet_lite4_detection_metadata_2,0.4196,NA
54,27,36.555274999999995,44.0,0.0,1.354013,0.0,1.356317,efficientdet_lite4_detection_metadata_2,0.4196,NA
55,27,37.904954,44.0,85.8,1.349679,0.0,1.356317,efficientdet_lite4_detection_metadata_2,0.4196,NA
56,28,37.907275999999996,44.0,0.0,1.349679,0.0,1.352001,efficientdet_lite4_detection_metadata_2,0.4196,NA
57,28,39.254971999999995,44.5,85.7,1.347696,0.0,1.352001,efficientdet_lite4_detection_metadata_2,0.4196,NA
58,29,39.257318999999995,44.5,50.0,1.347696,0.0,1.350043,efficientdet_lite4_detection_metadata_2,0.4196,NA
59,29,40.604966999999995,44.5,85.8,1.347648,0.0,1.350043,efficientdet_lite4_detection_metadata_2,0.4196,NA
60,30,40.607321999999996,44.5,0.0,1.347648,0.0,1.350003,efficientdet_lite4_detection_metadata_2,0.4196,NA
61,30,41.952892,44.5,85.9,1.34557,0.0,1.350003,efficientdet_lite4_detection_metadata_2,0.4196,NA
62,31,41.955279999999995,44.5,0.0,1.34557,0.0,1.347958,efficientdet_lite4_detection_metadata_2,0.4196,NA
63,31,43.30514399999999,44.5,85.8,1.349864,0.0,1.347958,efficientdet_lite4_detection_metadata_2,0.4196,NA
64,32,43.307503,44.5,100.0,1.349864,0.0,1.352223,efficientdet_lite4_detection_metadata_2,0.4196,NA
65,32,44.65703499999999,44.5,85.7,1.349532,0.0,1.352223,efficientdet_lite4_detection_metadata_2,0.4196,NA
66,33,44.65940499999999,44.5,0.0,1.349532,0.0,1.351902,efficientdet_lite4_detection_metadata_2,0.4196,NA
67,33,46.00786299999999,45.0,85.7,1.348458,0.0,1.351902,efficientdet_lite4_detection_metadata_2,0.4196,NA
68,34,46.01024199999999,45.0,0.0,1.348458,0.0,1.350837,efficientdet_lite4_detection_metadata_2,0.4196,NA
69,34,47.361200999999994,44.5,85.7,1.350959,0.0,1.350837,efficientdet_lite4_detection_metadata_2,0.4196,NA
70,35,47.36352199999999,44.5,0.0,1.350959,0.0,1.35328,efficientdet_lite4_detection_metadata_2,0.4196,NA
71,35,48.70733699999999,44.5,86.0,1.343815,0.0,1.35328,efficientdet_lite4_detection_metadata_2,0.4196,NA
72,36,48.70970999999999,44.5,50.0,1.343815,0.0,1.346188,efficientdet_lite4_detection_metadata_2,0.4196,NA
73,36,50.065077999999986,44.5,85.6,1.355368,0.0,1.346188,efficientdet_lite4_detection_metadata_2,0.4196,NA
74,37,50.067461999999985,44.5,0.0,1.355368,0.0,1.357752,efficientdet_lite4_detection_metadata_2,0.4196,NA
75,37,51.417529999999985,45.0,85.7,1.350068,0.0,1.357752,efficientdet_lite4_detection_metadata_2,0.4196,NA
76,38,51.41992399999999,45.0,0.0,1.350068,0.0,1.352462,efficientdet_lite4_detection_metadata_2,0.4196,NA
77,38,52.76685699999999,45.0,85.7,1.346933,0.0,1.352462,efficientdet_lite4_detection_metadata_2,0.4196,NA
78,39,52.769162999999985,45.0,0.0,1.346933,0.0,1.349239,efficientdet_lite4_detection_metadata_2,0.4196,NA
79,39,54.11891799999999,45.0,85.4,1.349755,0.0,1.349239,efficientdet_lite4_detection_metadata_2,0.4196,NA
80,40,54.12124699999998,45.0,0.0,1.349755,0.0,1.352084,efficientdet_lite4_detection_metadata_2,0.4196,NA
81,40,55.471755999999985,45.0,85.6,1.350509,0.0,1.352084,efficientdet_lite4_detection_metadata_2,0.4196,NA
82,41,55.474147999999985,45.0,0.0,1.350509,0.0,1.352901,efficientdet_lite4_detection_metadata_2,0.4196,NA
83,41,56.833469999999984,45.5,85.4,1.359322,0.0,1.352901,efficientdet_lite4_detection_metadata_2,0.4196,NA
84,42,56.835782999999985,45.5,0.0,1.359322,0.0,1.361635,efficientdet_lite4_detection_metadata_2,0.4196,NA
85,42,58.187885999999985,45.5,85.5,1.352103,0.0,1.361635,efficientdet_lite4_detection_metadata_2,0.4196,NA
86,43,58.190232999999985,45.5,0.0,1.352103,0.0,1.35445,efficientdet_lite4_detection_metadata_2,0.4196,NA
87,43,59.54418699999999,45.0,86.2,1.353954,0.0,1.35445,efficientdet_lite4_detection_metadata_2,0.4196,NA
88,44,59.54651399999999,45.0,0.0,1.353954,0.0,1.356281,efficientdet_lite4_detection_metadata_2,0.4196,NA
89,44,60.89422399999999,45.5,85.9,1.34771,0.0,1.356281,efficientdet_lite4_detection_metadata_2,0.4196,NA
90,45,60.89660199999999,45.5,50.0,1.34771,0.0,1.350088,efficientdet_lite4_detection_metadata_2,0.4196,NA
91,45,62.25040099999999,45.5,85.5,1.353799,0.0,1.350088,efficientdet_lite4_detection_metadata_2,0.4196,NA
92,46,62.25273099999999,45.5,0.0,1.353799,0.0,1.356129,efficientdet_lite4_detection_metadata_2,0.4196,NA
93,46,63.60428099999999,45.5,85.4,1.35155,0.0,1.356129,efficientdet_lite4_detection_metadata_2,0.4196,NA
94,47,63.60664399999999,45.5,100.0,1.35155,0.0,1.353913,efficientdet_lite4_detection_metadata_2,0.4196,NA
95,47,64.96184499999998,45.5,85.8,1.355201,0.0,1.353913,efficientdet_lite4_detection_metadata_2,0.4196,NA
96,48,64.96416199999999,45.5,0.0,1.355201,0.0,1.357518,efficientdet_lite4_detection_metadata_2,0.4196,NA
97,48,66.31455199999999,45.5,85.8,1.35039,0.0,1.357518,efficientdet_lite4_detection_metadata_2,0.4196,NA
98,49,66.31685799999998,45.5,50.0,1.35039,0.0,1.352696,efficientdet_lite4_detection_metadata_2,0.4196,NA
99,49,67.66406299999998,46.0,85.8,1.347205,0.0,1.352696,efficientdet_lite4_detection_metadata_2,0.4196,NA
100,50,67.66642299999998,46.0,0.0,1.347205,0.0,1.349565,efficientdet_lite4_detection_metadata_2,0.4196,NA
101,50,69.01193499999998,46.0,85.9,1.345512,0.0,1.349565,efficientdet_lite4_detection_metadata_2,0.4196,NA
102,51,69.01424399999998,46.0,0.0,1.345512,0.0,1.347821,efficientdet_lite4_detection_metadata_2,0.4196,NA
103,51,70.36912299999997,46.0,85.6,1.354879,0.0,1.347821,efficientdet_lite4_detection_metadata_2,0.4196,NA
104,52,70.37150599999998,46.0,0.0,1.354879,0.0,1.357262,efficientdet_lite4_detection_metadata_2,0.4196,NA
105,52,71.73766299999998,46.0,85.0,1.366157,0.0,1.357262,efficientdet_lite4_detection_metadata_2,0.4196,NA
106,53,71.74001199999998,46.0,0.0,1.366157,0.0,1.368506,efficientdet_lite4_detection_metadata_2,0.4196,NA
107,53,73.09938899999997,46.0,85.8,1.359377,0.0,1.368506,efficientdet_lite4_detection_metadata_2,0.4196,NA
108,54,73.10169799999998,46.0,0.0,1.359377,0.0,1.361686,efficientdet_lite4_detection_metadata_2,0.4196,NA
109,54,74.45302799999999,46.0,85.5,1.35133,0.0,1.361686,efficientdet_lite4_detection_metadata_2,0.4196,NA
110,55,74.45539599999998,46.0,0.0,1.35133,0.0,1.353698,efficientdet_lite4_detection_metadata_2,0.4196,NA
111,55,75.80881499999998,46.5,85.4,1.353419,0.0,1.353698,efficientdet_lite4_detection_metadata_2,0.4196,NA
112,56,75.81116699999998,46.5,0.0,1.353419,0.0,1.355771,efficientdet_lite4_detection_metadata_2,0.4196,NA
113,56,77.16034199999999,46.0,85.7,1.349175,0.0,1.355771,efficientdet_lite4_detection_metadata_2,0.4196,NA
114,57,77.16266299999998,46.0,0.0,1.349175,0.0,1.351496,efficientdet_lite4_detection_metadata_2,0.4196,NA
