,iterator_record,time_record,temp_record_CPU,temp_record_GPU,cpu_record,processing_duration_record,pause_duration_record,loop_duration_record,net_record,avg_accuracy_record,action_record
0,0,0.0,53.556,52.5,0.0,0.0,0.0,0.0,efficientdet_lite4_detection_metadata_2,0.4196,NA
1,0,1.671769,54.043,54.0,10.1,1.671769,0.0,0.0,efficientdet_lite4_detection_metadata_2,0.4196,NA
2,1,1.765328,54.043,53.0,47.6,1.671769,0.0,1.765328,efficientdet_lite4_detection_metadata_2,0.4196,3
3,1,3.304785,55.017,55.0,82.4,1.539457,0.0,1.765328,efficientdet_lite3_detection_metadata_1,0.4196,3
4,2,3.3806179999999997,54.043,54.5,48.6,1.539457,0.7749261999999999,1.61529,efficientdet_lite3_detection_metadata_1,0.4196,4
5,2,4.091212,56.478,55.5,77.9,0.710594,0.7749261999999999,1.61529,efficientdet_lite3_detection_metadata_1,0.4196,4
6,3,4.941587999999999,54.043,54.5,8.3,0.710594,0.7749261999999999,1.56097,efficientdet_lite3_detection_metadata_1,0.4196,3
7,3,5.550040999999999,56.478,55.5,79.0,0.608453,0.7749261999999999,1.56097,efficientdet_lite3_detection_metadata_1,0.4196,3
8,4,6.401032,54.53,54.0,8.5,0.608453,0.7749261999999999,1.459444,efficientdet_lite3_detection_metadata_1,0.4196,3
9,4,7.006866,56.965,56.4,79.3,0.605834,0.7749261999999999,1.459444,efficientdet_lite3_detection_metadata_1,0.4196,3
10,5,7.857507999999999,55.504,55.0,7.7,0.605834,0.7749261999999999,1.456476,efficientdet_lite3_detection_metadata_1,0.4196,3
11,5,8.483844,55.991,56.0,77.4,0.626336,0.7749261999999999,1.456476,efficientdet_lite3_detection_metadata_1,0.4196,3
12,6,9.334909999999999,55.504,54.5,7.4,0.626336,0.7749261999999999,1.477402,efficientdet_lite3_detection_metadata_1,0.4196,3
13,6,9.943667999999999,55.991,56.9,79.0,0.608758,0.7749261999999999,1.477402,efficientdet_lite2_detection_metadata_1,0.4196,3
14,7,10.794749999999999,55.017,54.5,7.7,0.608758,1.0359506,1.45984,efficientdet_lite2_detection_metadata_1,0.377,4
15,7,11.141153,55.991,56.4,71.0,0.346403,1.0359506,1.45984,efficientdet_lite2_detection_metadata_1,0.377,4
16,8,12.253623999999999,55.504,55.0,5.4,0.346403,1.0359506,1.458874,efficientdet_lite2_detection_metadata_1,0.36954000000000004,3
17,8,12.608463999999998,56.478,55.5,70.1,0.35484,1.0359506,1.458874,efficientdet_lite2_detection_metadata_1,0.36954000000000004,3
