,iterator_record,time_record,temp_record_CPU,temp_record_GPU,cpu_record,processing_duration_record,pause_duration_record,loop_duration_record,net_record,avg_accuracy_record,action_record
0,0,0.0,52.582,54.5,0.0,0.0,0.0,0.0,efficientdet_lite4_detection_metadata_2,0.4196,NA
1,0,1.603195,53.069,53.5,12.7,1.603195,0.0,0.0,efficientdet_lite3_detection_metadata_1,0.4196,NA
2,1,1.695906,53.556,53.5,46.7,1.603195,0.7659862,1.695906,efficientdet_lite3_detection_metadata_1,0.4196,4
3,1,2.525271,55.017,54.5,75.2,0.829365,0.7659862,1.695906,efficientdet_lite4_detection_metadata_2,0.4196,4
4,2,3.3832269999999998,54.043,54.0,13.5,0.829365,0.0,1.687321,efficientdet_lite4_detection_metadata_2,0.4196,5
5,2,4.8702689999999995,56.478,56.0,82.9,1.487042,0.0,1.687321,efficientdet_lite3_detection_metadata_1,0.4196,5
6,3,4.958918,57.452,55.5,50.0,1.487042,0.7659862,1.575691,efficientdet_lite3_detection_metadata_1,0.4196,4
7,3,5.735538,55.991,56.9,76.8,0.77662,0.7659862,1.575691,efficientdet_lite2_detection_metadata_1,0.4196,4
8,4,6.588768,55.504,56.4,12.1,0.77662,1.0177076,1.62985,efficientdet_lite2_detection_metadata_1,0.4196,4
9,4,7.068723,57.939,56.0,69.2,0.479955,1.0177076,1.62985,efficientdet_lite2_detection_metadata_1,0.4196,4
10,5,8.177425,55.504,55.0,8.8,0.479955,0.0,1.588657,efficientdet_lite2_detection_metadata_1,0.4196,6
11,5,8.671236,57.452,56.9,71.0,0.493811,0.0,1.588657,efficientdet_lite3_detection_metadata_1,0.4196,6
12,6,8.756247000000002,55.504,56.0,47.6,0.493811,0.7659862,0.578822,efficientdet_lite3_detection_metadata_1,0.4196,5
13,6,9.911204000000001,57.452,56.9,74.1,1.154957,0.7659862,0.578822,efficientdet_lite4_detection_metadata_2,0.4196,5
14,7,10.768020000000002,55.991,56.0,10.9,1.154957,0.0,2.011773,efficientdet_lite4_detection_metadata_2,0.3706,5
15,7,12.256280000000002,58.913,57.9,82.9,1.48826,0.0,2.011773,efficientdet_lite4_detection_metadata_2,0.3706,5
16,8,12.346413000000002,57.452,57.9,46.7,1.48826,0.0,1.578393,efficientdet_lite4_detection_metadata_2,0.3706,6
17,8,13.841613000000002,58.426,58.4,83.9,1.4952,0.0,1.578393,efficientdet_lite4_detection_metadata_2,0.3706,6
18,9,13.932704000000001,58.426,58.4,47.7,1.4952,0.0,1.586291,efficientdet_lite4_detection_metadata_2,0.37912,6
19,9,15.415612000000001,60.374,59.9,84.0,1.482908,0.0,1.586291,efficientdet_lite3_detection_metadata_1,0.37912,6
20,10,15.501484,59.887,60.3,45.2,1.482908,0.7659862,1.56878,efficientdet_lite3_detection_metadata_1,0.39509999999999995,4
21,10,16.266625,60.374,60.3,76.2,0.765141,0.7659862,1.56878,efficientdet_lite4_detection_metadata_2,0.39509999999999995,4
22,11,17.131208,58.426,59.4,11.8,0.765141,0.0,1.629724,efficientdet_lite4_detection_metadata_2,0.40256,5
23,11,18.618542,60.861,60.3,83.2,1.487334,0.0,1.629724,efficientdet_lite3_detection_metadata_1,0.40256,5
24,12,18.704031,60.861,61.3,46.3,1.487334,0.7659862,1.572823,efficientdet_lite3_detection_metadata_1,0.41107999999999995,4
25,12,19.470439,60.861,60.8,77.7,0.766408,0.7659862,1.572823,efficientdet_lite4_detection_metadata_2,0.41107999999999995,4
26,13,20.324278,58.426,59.4,11.7,0.766408,0.0,1.620247,efficientdet_lite4_detection_metadata_2,0.40256,5
27,13,21.882561,61.348,60.8,81.4,1.558283,0.0,1.620247,efficientdet_lite3_detection_metadata_1,0.40256,5
28,14,21.969008,60.374,61.3,47.6,1.558283,0.7659862,1.64473,efficientdet_lite3_detection_metadata_1,0.40256,4
29,14,22.734534999999997,61.348,60.3,76.3,0.765527,0.7659862,1.64473,efficientdet_lite4_detection_metadata_2,0.40256,4
30,15,23.591535999999998,59.4,59.4,11.5,0.765527,0.0,1.622528,efficientdet_lite4_detection_metadata_2,0.39404,5
31,15,25.055816999999998,61.835,60.8,83.7,1.464281,0.0,1.622528,efficientdet_lite3_detection_metadata_1,0.39404,5
32,16,25.141569999999998,61.348,60.3,48.8,1.464281,0.7659862,1.550034,efficientdet_lite3_detection_metadata_1,0.40256,4
