,iterator_record,time_record,temp_record_CPU,temp_record_GPU,cpu_record,processing_duration_record,pause_duration_record,loop_duration_record,net_record,avg_accuracy_record,action_record
0,0,0.0,52.095,51.6,0.0,0.0,0.0,0.0,efficientdet_lite4_detection_metadata_2,0.4196,NA
1,0,1.623926,53.069,54.0,7.0,1.623926,0.0,0.0,efficientdet_lite4_detection_metadata_2,0.4196,NA
2,1,1.710896,53.556,54.0,45.0,1.623926,0.0,1.710896,efficientdet_lite4_detection_metadata_2,0.4196,3
3,1,3.2487459999999997,55.991,56.4,82.8,1.53785,0.0,1.710896,efficientdet_lite4_detection_metadata_2,0.4196,3
4,2,3.320126,55.504,55.5,45.5,1.53785,0.0,1.60923,efficientdet_lite4_detection_metadata_2,0.4196,5
5,2,4.772441000000001,56.478,56.4,84.4,1.452315,0.0,1.60923,efficientdet_lite4_detection_metadata_2,0.4196,5
6,3,4.844219000000001,56.965,56.9,50.0,1.452315,0.0,1.524093,efficientdet_lite4_detection_metadata_2,0.4196,3
7,3,6.290422,58.426,57.9,84.3,1.446203,0.0,1.524093,efficientdet_lite4_detection_metadata_2,0.4196,3
8,4,6.3627720000000005,58.426,58.4,45.5,1.446203,0.0,1.518553,efficientdet_lite4_detection_metadata_2,0.4196,3
9,4,7.797551,59.4,58.4,84.2,1.434779,0.0,1.518553,efficientdet_lite3_detection_metadata_1,0.4196,3
10,5,7.870667,58.913,59.4,47.1,1.434779,0.7511123999999999,1.507895,efficientdet_lite3_detection_metadata_1,0.4196,4
11,5,8.550798,59.887,59.4,79.1,0.680131,0.7511123999999999,1.507895,efficientdet_lite3_detection_metadata_1,0.4196,4
12,6,9.376744,58.426,58.4,7.9,0.680131,0.7511123999999999,1.506077,efficientdet_lite3_detection_metadata_1,0.4196,3
13,6,9.989583,59.4,59.4,78.6,0.612839,0.7511123999999999,1.506077,efficientdet_lite3_detection_metadata_1,0.4196,3
14,7,10.813958000000001,57.452,57.4,7.9,0.612839,0.7511123999999999,1.437214,efficientdet_lite3_detection_metadata_1,0.40256,3
15,7,11.427450000000002,58.913,58.9,78.8,0.613492,0.7511123999999999,1.437214,efficientdet_lite3_detection_metadata_1,0.40256,3
16,8,12.251552000000002,56.965,57.9,10.0,0.613492,0.7511123999999999,1.437594,efficientdet_lite3_detection_metadata_1,0.39404,3
17,8,12.869866000000002,59.4,59.4,78.0,0.618314,0.7511123999999999,1.437594,efficientdet_lite3_detection_metadata_1,0.39404,3
18,9,13.699590000000002,56.478,57.4,8.7,0.618314,0.7511123999999999,1.448038,efficientdet_lite3_detection_metadata_1,0.38552,3
19,9,14.313821000000003,58.913,58.4,78.6,0.614231,0.7511123999999999,1.448038,efficientdet_lite2_detection_metadata_1,0.38552,3
20,10,15.139132000000002,56.965,58.9,8.5,0.614231,0.9825564,1.439542,efficientdet_lite2_detection_metadata_1,0.377,4
21,10,15.495013000000002,59.887,58.9,69.8,0.355881,0.9825564,1.439542,efficientdet_lite2_detection_metadata_1,0.377,4
22,11,16.551966,56.965,56.9,5.5,0.355881,0.9825564,1.412834,efficientdet_lite2_detection_metadata_1,0.36954000000000004,3
23,11,16.909579,59.887,57.9,69.9,0.357613,0.9825564,1.412834,efficientdet_lite2_detection_metadata_1,0.36954000000000004,3
24,12,17.965492,56.965,56.4,5.9,0.357613,0.9825564,1.413526,efficientdet_lite2_detection_metadata_1,0.36208,3
25,12,18.322259000000003,58.426,57.9,69.7,0.356767,0.9825564,1.413526,efficientdet_lite2_detection_metadata_1,0.36208,3
26,13,19.379629,56.478,56.0,6.0,0.356767,0.9825564,1.414137,efficientdet_lite2_detection_metadata_1,0.35462,3
27,13,19.760538,59.4,57.9,68.2,0.380909,0.9825564,1.414137,efficientdet_lite2_detection_metadata_1,0.35462,3
28,14,20.817906,55.991,56.9,5.7,0.380909,0.9825564,1.438277,efficientdet_lite2_detection_metadata_1,0.34716,3
29,14,21.171331000000002,58.426,57.4,70.4,0.353425,0.9825564,1.438277,efficientdet_lite2_detection_metadata_1,0.34716,3
30,15,22.22692,55.991,56.4,5.7,0.353425,0.9825564,1.409014,efficientdet_lite2_detection_metadata_1,0.3397,3
31,15,22.585967,58.913,57.9,69.3,0.359047,0.9825564,1.409014,efficientdet_lite3_detection_metadata_1,0.3397,3
32,16,23.640957,55.017,56.4,6.4,0.359047,0.7511123999999999,1.414037,efficientdet_lite3_detection_metadata_1,0.3397,5
