,iterator_record,time_record,temp_record_CPU,cpu_record,processing_duration_record,pause_duration_record,loop_duration_record,net_record,avg_accuracy_record,action_record
0,0,0.0,50.5,0.0,0.0,0.0,0.0,efficientdet_lite4_detection_metadata_2,0.4196,NA
1,0,1.426817,50.5,51.9,1.426817,0.0,0.0,efficientdet_lite4_detection_metadata_2,0.4196,NA
2,1,1.5032560000000001,50.5,29.0,1.426817,0.0,1.503256,efficientdet_lite4_detection_metadata_2,0.4196,5
3,1,2.862156,50.5,85.8,1.3589,0.0,1.503256,efficientdet_lite4_detection_metadata_2,0.4196,5
4,2,2.8754480000000004,50.5,20.0,1.3589,0.0,1.372192,efficientdet_lite4_detection_metadata_2,0.4196,5
5,2,4.228070000000001,51.0,86.1,1.352622,0.0,1.372192,efficientdet_lite4_detection_metadata_2,0.4196,5
6,3,4.2413490000000005,50.5,25.0,1.352622,0.0,1.365901,efficientdet_lite4_detection_metadata_2,0.4196,3
7,3,5.589486000000001,51.0,86.1,1.348137,0.0,1.365901,efficientdet_lite4_detection_metadata_2,0.4196,3
8,4,5.602705,51.0,20.0,1.348137,0.0,1.361356,efficientdet_lite4_detection_metadata_2,0.4196,3
9,4,6.956804,51.5,85.9,1.354099,0.0,1.361356,efficientdet_lite4_detection_metadata_2,0.4196,3
10,5,6.970045000000001,51.0,33.3,1.354099,0.0,1.36734,efficientdet_lite4_detection_metadata_2,0.4196,3
11,5,8.321301,51.5,86.3,1.351256,0.0,1.36734,efficientdet_lite4_detection_metadata_2,0.4196,3
12,6,8.334518000000001,51.5,33.3,1.351256,0.0,1.364473,efficientdet_lite4_detection_metadata_2,0.4196,3
13,6,9.679456000000002,51.0,86.3,1.344938,0.0,1.364473,efficientdet_lite4_detection_metadata_2,0.4196,3
14,7,9.693159000000001,51.0,20.0,1.344938,0.0,1.358641,efficientdet_lite4_detection_metadata_2,0.4196,3
15,7,11.041633000000001,51.5,86.2,1.348474,0.0,1.358641,efficientdet_lite4_detection_metadata_2,0.4196,3
16,8,11.054995000000002,51.5,20.0,1.348474,0.0,1.361836,efficientdet_lite4_detection_metadata_2,0.4196,3
17,8,12.399810000000002,51.5,86.4,1.344815,0.0,1.361836,efficientdet_lite4_detection_metadata_2,0.4196,3
18,9,12.413233000000002,51.5,33.3,1.344815,0.0,1.358238,efficientdet_lite4_detection_metadata_2,0.4196,3
19,9,13.761960000000002,51.5,86.1,1.348727,0.0,1.358238,efficientdet_lite4_detection_metadata_2,0.4196,3
20,10,13.775317000000001,51.5,33.3,1.348727,0.0,1.362084,efficientdet_lite4_detection_metadata_2,0.4196,3
21,10,15.124202,51.5,86.5,1.348885,0.0,1.362084,efficientdet_lite4_detection_metadata_2,0.4196,3
22,11,15.137583000000003,51.5,33.3,1.348885,0.0,1.362266,efficientdet_lite4_detection_metadata_2,0.4196,3
23,11,16.491766000000002,51.5,85.8,1.354183,0.0,1.362266,efficientdet_lite4_detection_metadata_2,0.4196,3
24,12,16.505167000000004,51.5,33.3,1.354183,0.0,1.367584,efficientdet_lite4_detection_metadata_2,0.4196,3
25,12,17.849354000000005,51.5,86.2,1.344187,0.0,1.367584,efficientdet_lite4_detection_metadata_2,0.4196,3
26,13,17.862781000000005,51.5,40.0,1.344187,0.0,1.357614,efficientdet_lite4_detection_metadata_2,0.4196,3
27,13,19.208619000000006,51.5,86.1,1.345838,0.0,1.357614,efficientdet_lite4_detection_metadata_2,0.4196,3
28,14,19.222058000000004,51.5,40.0,1.345838,0.0,1.359277,efficientdet_lite4_detection_metadata_2,0.4196,3
29,14,20.565351000000003,51.5,86.3,1.343293,0.0,1.359277,efficientdet_lite4_detection_metadata_2,0.4196,3
30,15,20.578297000000003,51.5,20.0,1.343293,0.0,1.356239,efficientdet_lite4_detection_metadata_2,0.4196,5
31,15,21.921316000000004,52.0,86.4,1.343019,0.0,1.356239,efficientdet_lite3_detection_metadata_1,0.4196,5
32,16,21.935064000000004,52.0,20.0,1.343019,0.7709128000000001,1.356767,efficientdet_lite3_detection_metadata_1,0.4196,4
33,16,22.513911000000004,52.0,84.2,0.578847,0.7709128000000001,1.356767,efficientdet_lite3_detection_metadata_1,0.4196,4
34,17,23.300394000000004,50.5,4.1,0.578847,0.7709128000000001,1.36533,efficientdet_lite3_detection_metadata_1,0.41107999999999995,3
35,17,23.888489000000003,51.5,82.8,0.588095,0.7709128000000001,1.36533,efficientdet_lite2_detection_metadata_1,0.41107999999999995,3
36,18,24.677889000000004,51.0,4.4,0.588095,1.0270422,1.377495,efficientdet_lite2_detection_metadata_1,0.40256,4
37,18,25.013625000000005,52.0,77.6,0.335736,1.0270422,1.377495,efficientdet_lite1_detection_metadata_1,0.40256,4
38,19,26.059995000000004,50.5,2.9,0.335736,1.1359856000000002,1.382106,efficientdet_lite1_detection_metadata_1,0.38658000000000003,4
39,19,26.284313000000004,52.0,73.6,0.224318,1.1359856000000002,1.382106,efficientdet_lite1_detection_metadata_1,0.38658000000000003,4
40,20,27.436352000000003,50.5,2.8,0.224318,1.1359856000000002,1.376357,efficientdet_lite1_detection_metadata_1,0.36376,3
41,20,27.662377000000003,52.0,73.6,0.226025,1.1359856000000002,1.376357,efficientdet_lite1_detection_metadata_1,0.36376,3
42,21,28.813843000000002,50.5,2.4,0.226025,1.1359856000000002,1.377491,efficientdet_lite1_detection_metadata_1,0.34094,3
43,21,29.042925000000004,52.0,73.9,0.229082,1.1359856000000002,1.377491,efficientdet_lite1_detection_metadata_1,0.34094,3
