,iterator_record,time_record,temp_record_CPU,cpu_record,processing_duration_record,pause_duration_record,loop_duration_record,net_record,avg_accuracy_record,action_record
0,0,0.0,48.5,0.0,0.0,0.0,0.0,efficientdet_lite4_detection_metadata_2,0.4196,NA
1,0,1.351693,51.0,83.0,1.351693,0.0,0.0,efficientdet_lite4_detection_metadata_2,0.4196,NA
2,1,1.3690629999999997,51.0,28.6,1.351693,0.0,1.369063,efficientdet_lite4_detection_metadata_2,0.4196,3
3,1,2.728248,51.5,85.8,1.359185,0.0,1.369063,efficientdet_lite4_detection_metadata_2,0.4196,3
4,2,2.7415979999999998,51.5,20.0,1.359185,0.0,1.372535,efficientdet_lite4_detection_metadata_2,0.4196,3
5,2,4.099512,51.5,85.8,1.357914,0.0,1.372535,efficientdet_lite4_detection_metadata_2,0.4196,3
6,3,4.1129169999999995,51.5,42.9,1.357914,0.0,1.371319,efficientdet_lite4_detection_metadata_2,0.4196,3
7,3,5.472237,51.0,85.6,1.35932,0.0,1.371319,efficientdet_lite4_detection_metadata_2,0.4196,3
8,4,5.485129,51.0,25.0,1.35932,0.0,1.372212,efficientdet_lite4_detection_metadata_2,0.4196,5
9,4,6.834455,51.0,86.1,1.349326,0.0,1.372212,efficientdet_lite4_detection_metadata_2,0.4196,5
10,5,6.847755000000001,51.0,20.0,1.349326,0.0,1.362626,efficientdet_lite4_detection_metadata_2,0.4196,3
11,5,8.206319,51.5,86.0,1.358564,0.0,1.362626,efficientdet_lite4_detection_metadata_2,0.4196,3
12,6,8.219614000000002,51.5,33.3,1.358564,0.0,1.371859,efficientdet_lite4_detection_metadata_2,0.4196,3
13,6,9.567603000000002,51.5,86.3,1.347989,0.0,1.371859,efficientdet_lite4_detection_metadata_2,0.4196,3
14,7,9.581445000000002,51.5,33.3,1.347989,0.0,1.361831,efficientdet_lite4_detection_metadata_2,0.4196,3
15,7,10.940303000000002,51.5,85.8,1.358858,0.0,1.361831,efficientdet_lite4_detection_metadata_2,0.4196,3
16,8,10.956602000000002,51.5,37.5,1.358858,0.0,1.375157,efficientdet_lite4_detection_metadata_2,0.4196,3
17,8,12.306560000000001,51.5,86.3,1.349958,0.0,1.375157,efficientdet_lite4_detection_metadata_2,0.4196,3
18,9,12.320072,51.5,20.0,1.349958,0.0,1.36347,efficientdet_lite4_detection_metadata_2,0.4196,3
19,9,13.680587,52.0,85.6,1.360515,0.0,1.36347,efficientdet_lite3_detection_metadata_1,0.4196,3
20,10,13.694462999999999,52.0,33.3,1.360515,0.7722278000000001,1.374391,efficientdet_lite3_detection_metadata_1,0.4196,4
21,10,14.276672,52.0,83.9,0.582209,0.7722278000000001,1.374391,efficientdet_lite3_detection_metadata_1,0.4196,4
22,11,15.064305999999998,49.0,3.5,0.582209,0.7722278000000001,1.369843,efficientdet_lite3_detection_metadata_1,0.41107999999999995,3
