,iterator_record,time_record,temp_record_CPU,temp_record_GPU,cpu_record,processing_duration_record,pause_duration_record,loop_duration_record,net_record,avg_accuracy_record,action_record
0,0,0.0,49.5,47.0,0.0,0.0,0.0,0.0,efficientdet_lite4_detection_metadata_2,0.4196,NA
1,0,1.343007,50.0,47.5,84.0,1.343007,0.0,0.0,efficientdet_lite4_detection_metadata_2,0.4196,NA
2,1,1.363775,50.0,47.5,33.3,1.343007,0.0,1.363775,efficientdet_lite4_detection_metadata_2,0.4196,5
3,1,2.710388,52.0,47.5,86.0,1.346613,0.0,1.363775,efficientdet_lite3_detection_metadata_1,0.4196,5
4,2,2.7241139999999997,52.0,47.5,20.0,1.346613,0.7653708,1.360339,efficientdet_lite3_detection_metadata_1,0.4196,4
5,2,3.3028769999999996,52.5,47.5,84.0,0.578763,0.7653708,1.360339,efficientdet_lite2_detection_metadata_1,0.4196,4
6,3,4.086640999999999,49.0,46.5,2.6,0.578763,1.0169372,1.362527,efficientdet_lite2_detection_metadata_1,0.4196,4
7,3,4.419941,52.0,47.5,77.6,0.3333,1.0169372,1.362527,efficientdet_lite1_detection_metadata_1,0.4196,4
8,4,5.455782999999999,49.0,46.0,3.1,0.3333,1.12734,1.369142,efficientdet_lite1_detection_metadata_1,0.4196,4
9,4,5.67775,53.0,47.5,73.3,0.221967,1.12734,1.369142,efficientdet_lite2_detection_metadata_1,0.4196,4
10,5,6.821730999999999,49.0,46.0,3.9,0.221967,1.0169372,1.365948,efficientdet_lite2_detection_metadata_1,0.4196,5
11,5,7.157594999999999,51.5,47.5,77.0,0.335864,1.0169372,1.365948,efficientdet_lite2_detection_metadata_1,0.4196,5
12,6,8.190296999999997,48.5,46.0,3.4,0.335864,1.0169372,1.368566,efficientdet_lite2_detection_metadata_1,0.4196,3
13,6,8.522361999999998,51.5,48.0,77.9,0.332065,1.0169372,1.368566,efficientdet_lite2_detection_metadata_1,0.4196,3
14,7,9.555489999999997,48.5,45.5,3.4,0.332065,1.0169372,1.365193,efficientdet_lite2_detection_metadata_1,0.34032,3
15,7,9.889106999999997,52.0,47.5,77.9,0.333617,1.0169372,1.365193,efficientdet_lite1_detection_metadata_1,0.34032,3
16,8,10.922401999999996,48.5,46.0,1.9,0.333617,1.12734,1.366912,efficientdet_lite1_detection_metadata_1,0.33286,4
17,8,11.148121999999997,52.5,47.5,73.6,0.22572,1.12734,1.366912,efficientdet_lite1_detection_metadata_1,0.33286,4
18,9,12.291191999999997,48.5,46.0,2.4,0.22572,1.12734,1.36879,efficientdet_lite1_detection_metadata_1,0.32602000000000003,3
19,9,12.514484999999997,52.0,47.0,73.0,0.223293,1.12734,1.36879,efficientdet_lite1_detection_metadata_1,0.32602000000000003,3
20,10,13.657396999999998,48.0,46.0,2.4,0.223293,1.12734,1.366205,efficientdet_lite1_detection_metadata_1,0.32602000000000003,3
21,10,13.882282999999997,52.5,47.5,73.0,0.224886,1.12734,1.366205,efficientdet_lite1_detection_metadata_1,0.32602000000000003,3
22,11,15.025175999999998,48.0,46.0,3.9,0.224886,1.12734,1.367779,efficientdet_lite1_detection_metadata_1,0.31917999999999996,3
23,11,15.252233999999998,52.0,47.5,73.6,0.227058,1.12734,1.367779,efficientdet_lite1_detection_metadata_1,0.31917999999999996,3
24,12,16.395124,48.0,46.0,2.6,0.227058,1.12734,1.369948,efficientdet_lite1_detection_metadata_1,0.31234,3
25,12,16.621033999999998,52.0,47.5,72.2,0.22591,1.12734,1.369948,efficientdet_lite1_detection_metadata_1,0.31234,3
26,13,17.7643,48.0,46.0,3.5,0.22591,1.12734,1.369176,efficientdet_lite1_detection_metadata_1,0.3055,3
27,13,17.987672999999997,52.0,47.5,73.3,0.223373,1.12734,1.369176,efficientdet_lite1_detection_metadata_1,0.3055,3
28,14,19.129558,48.0,45.5,3.1,0.223373,1.12734,1.365258,efficientdet_lite1_detection_metadata_1,0.3055,3
29,14,19.353717,52.0,47.0,72.5,0.224159,1.12734,1.365258,efficientdet_lite1_detection_metadata_1,0.3055,3
30,15,20.496707,48.0,46.0,3.0,0.224159,1.12734,1.367149,efficientdet_lite1_detection_metadata_1,0.3055,3
31,15,20.719447000000002,52.0,47.0,73.0,0.22274,1.12734,1.367149,efficientdet_lite1_detection_metadata_1,0.3055,3
32,16,21.86235,48.0,46.0,2.0,0.22274,1.12734,1.365643,efficientdet_lite1_detection_metadata_1,0.3055,3
33,16,22.086726,51.5,47.0,73.6,0.224376,1.12734,1.365643,efficientdet_lite1_detection_metadata_1,0.3055,3
34,17,23.22968,48.0,45.5,4.4,0.224376,0.42733999999999994,1.36733,efficientdet_lite1_detection_metadata_1,0.3055,6
35,17,23.452987999999998,52.0,47.0,72.7,0.223308,0.42733999999999994,1.36733,efficientdet_lite2_detection_metadata_1,0.3055,6
36,18,23.895722,48.5,45.5,3.9,0.223308,1.0169372,0.666042,efficientdet_lite2_detection_metadata_1,0.3055,5
37,18,24.228137,51.0,47.0,77.4,0.332415,1.0169372,0.666042,efficientdet_lite2_detection_metadata_1,0.3055,5
38,19,25.260528,48.0,45.5,2.7,0.332415,0.21693720000000005,1.364806,efficientdet_lite2_detection_metadata_1,0.31234,6
39,19,25.592791000000002,51.0,47.5,77.4,0.332263,0.21693720000000005,1.364806,efficientdet_lite2_detection_metadata_1,0.31234,6
40,20,25.824274,48.5,46.0,4.2,0.332263,0.21693720000000005,0.563746,efficientdet_lite2_detection_metadata_1,0.31917999999999996,3
41,20,26.162356,51.5,47.0,77.2,0.338082,0.21693720000000005,0.563746,efficientdet_lite3_detection_metadata_1,0.31917999999999996,3
42,21,26.394862,48.0,46.0,3.2,0.338082,0.7653708,0.570588,efficientdet_lite3_detection_metadata_1,0.3260199999999999,5
43,21,26.981543,51.5,47.0,83.2,0.586681,0.7653708,0.570588,efficientdet_lite2_detection_metadata_1,0.3260199999999999,5
44,22,27.762982,48.0,45.5,2.3,0.586681,1.0169372,1.36812,efficientdet_lite2_detection_metadata_1,0.34032,4
45,22,28.095691000000002,51.5,47.0,77.8,0.332709,1.0169372,1.36812,efficientdet_lite2_detection_metadata_1,0.34032,4
46,23,29.128539,48.0,45.5,3.4,0.332709,1.0169372,1.365557,efficientdet_lite2_detection_metadata_1,0.34716,3
47,23,29.460199,51.5,47.0,78.2,0.33166,1.0169372,1.365557,efficientdet_lite2_detection_metadata_1,0.34716,3
48,24,30.492577,48.0,45.5,3.4,0.33166,1.0169372,1.364038,efficientdet_lite2_detection_metadata_1,0.34716,3
49,24,30.825468,51.0,47.0,77.8,0.332891,1.0169372,1.364038,efficientdet_lite2_detection_metadata_1,0.34716,3
50,25,31.858084,48.0,45.5,4.3,0.332891,0.21693720000000005,1.365507,efficientdet_lite2_detection_metadata_1,0.34715999999999997,6
51,25,32.192213,51.5,47.0,77.2,0.334129,0.21693720000000005,1.365507,efficientdet_lite2_detection_metadata_1,0.34715999999999997,6
52,26,32.423267,48.5,45.5,2.2,0.334129,0.0,0.565183,efficientdet_lite2_detection_metadata_1,0.34716,6
53,26,32.755327,51.5,47.0,77.4,0.33206,0.0,0.565183,efficientdet_lite2_detection_metadata_1,0.34716,6
54,27,32.768798000000004,51.5,46.5,20.0,0.33206,0.0,0.345531,efficientdet_lite2_detection_metadata_1,0.3397,3
55,27,33.092259000000006,51.5,47.0,79.4,0.323461,0.0,0.345531,efficientdet_lite2_detection_metadata_1,0.3397,3
56,28,33.10579800000001,51.5,47.0,20.0,0.323461,0.0,0.337,efficientdet_lite2_detection_metadata_1,0.3397,3
57,28,33.42968900000001,52.0,47.5,79.1,0.323891,0.0,0.337,efficientdet_lite2_detection_metadata_1,0.3397,3
58,29,33.443107000000005,51.5,47.5,20.0,0.323891,0.0,0.337309,efficientdet_lite2_detection_metadata_1,0.3397,6
59,29,33.766221,51.5,47.5,79.4,0.323114,0.0,0.337309,efficientdet_lite2_detection_metadata_1,0.3397,6
60,30,33.779797,51.5,47.0,33.3,0.323114,0.0,0.33669,efficientdet_lite2_detection_metadata_1,0.3397,3
61,30,34.102859,52.0,47.5,78.9,0.323062,0.0,0.33669,efficientdet_lite1_detection_metadata_1,0.3397,3
62,31,34.116356,52.0,47.0,20.0,0.323062,1.12734,0.336559,efficientdet_lite1_detection_metadata_1,0.3397,4
63,31,34.336547,51.5,47.5,75.6,0.220191,1.12734,0.336559,efficientdet_lite1_detection_metadata_1,0.3397,4
64,32,35.479531,48.0,46.0,3.1,0.220191,0.42733999999999994,1.363175,efficientdet_lite1_detection_metadata_1,0.33286,6
65,32,35.703,52.0,47.0,73.3,0.223469,0.42733999999999994,1.363175,efficientdet_lite1_detection_metadata_1,0.33286,6
66,33,36.144998,48.0,45.5,2.8,0.223469,0.0,0.665467,efficientdet_lite1_detection_metadata_1,0.32602000000000003,6
67,33,36.373779,52.0,47.0,73.4,0.228781,0.0,0.665467,efficientdet_lite1_detection_metadata_1,0.32602000000000003,6
68,34,36.387327,51.0,47.0,33.3,0.228781,0.0,0.242329,efficientdet_lite1_detection_metadata_1,0.31917999999999996,3
69,34,36.601038,51.5,47.5,75.3,0.213711,0.0,0.242329,efficientdet_lite0_detection_metadata_1,0.31917999999999996,3
70,35,36.61479,51.5,47.0,25.0,0.213711,1.2174738,0.227463,efficientdet_lite0_detection_metadata_1,0.31234,4
71,35,36.740802,53.0,47.5,68.6,0.126012,1.2174738,0.227463,efficientdet_lite0_detection_metadata_1,0.31234,4
72,36,37.974032,48.5,45.5,2.0,0.126012,1.2174738,1.359242,efficientdet_lite0_detection_metadata_1,0.29578,3
73,36,38.111324,51.5,47.0,66.7,0.137292,1.2174738,1.359242,efficientdet_lite0_detection_metadata_1,0.29578,3
74,37,39.344854,48.0,45.5,2.8,0.137292,0.5174738,1.370822,efficientdet_lite0_detection_metadata_1,0.28606,6
75,37,39.481283,51.5,47.0,64.9,0.136429,0.5174738,1.370822,efficientdet_lite0_detection_metadata_1,0.28606,6
76,38,40.013514,48.0,45.5,2.8,0.136429,0.0,0.66866,efficientdet_lite0_detection_metadata_1,0.27634,6
77,38,40.151134,51.5,46.5,67.2,0.13762,0.0,0.66866,efficientdet_lite0_detection_metadata_1,0.27634,6
78,39,40.164639,51.5,46.5,20.0,0.13762,0.0,0.151125,efficientdet_lite0_detection_metadata_1,0.26661999999999997,4
79,39,40.29028,51.0,47.5,68.8,0.125641,0.0,0.151125,efficientdet_lite0_detection_metadata_1,0.26661999999999997,4
80,40,40.303383000000004,51.0,47.0,33.3,0.125641,0.0,0.138744,efficientdet_lite0_detection_metadata_1,0.2569,4
81,40,40.428817,52.0,47.0,69.4,0.125434,0.0,0.138744,efficientdet_lite0_detection_metadata_1,0.2569,4
82,41,40.44234,52.0,47.0,33.3,0.125434,0.0,0.138957,efficientdet_lite0_detection_metadata_1,0.2569,3
83,41,40.567813,52.5,47.5,68.0,0.125473,0.0,0.138957,efficientdet_lite1_detection_metadata_1,0.2569,3
84,42,40.581298000000004,51.5,47.5,42.9,0.125473,1.12734,0.138958,efficientdet_lite1_detection_metadata_1,0.2569,5
85,42,40.794838000000006,51.5,47.0,75.6,0.21354,1.12734,0.138958,efficientdet_lite1_detection_metadata_1,0.2569,5
86,43,41.93771400000001,48.0,45.5,2.4,0.21354,0.42733999999999994,1.356416,efficientdet_lite1_detection_metadata_1,0.26661999999999997,6
87,43,42.164280000000005,51.5,46.5,73.6,0.226566,0.42733999999999994,1.356416,efficientdet_lite1_detection_metadata_1,0.26661999999999997,6
88,44,42.60611300000001,48.0,45.5,3.3,0.226566,0.42733999999999994,0.668399,efficientdet_lite1_detection_metadata_1,0.27634,3
89,44,42.82918300000001,52.0,47.0,72.7,0.22307,0.42733999999999994,0.668399,efficientdet_lite1_detection_metadata_1,0.27634,3
90,45,43.27120200000001,48.0,45.5,5.0,0.22307,0.0,0.665089,efficientdet_lite1_detection_metadata_1,0.28606,6
91,45,43.49429200000001,51.5,47.0,72.7,0.22309,0.0,0.665089,efficientdet_lite2_detection_metadata_1,0.28606,6
92,46,43.50777100000001,50.5,47.0,20.0,0.22309,1.0169372,0.236569,efficientdet_lite2_detection_metadata_1,0.29578,5
