,iterator_record,time_record,temp_record_CPU,temp_record_GPU,cpu_record,processing_duration_record,pause_duration_record,loop_duration_record,net_record,avg_accuracy_record,action_record
0,0,0.0,69.627,70.1,0.0,0.0,0.0,0.0,efficientdet_lite4_detection_metadata_2,0.4196,NA
1,0,1.509389,55.017,55.0,1.2,1.509389,0.0,0.0,efficientdet_lite2_detection_metadata_1,0.4196,NA
2,1,1.563352,55.017,53.5,27.3,1.509389,0.9942980000000001,1.563352,efficientdet_lite2_detection_metadata_1,0.3397,NA
3,1,1.9183180000000002,55.017,55.5,70.4,0.354966,0.9942980000000001,1.563352,efficientdet_lite2_detection_metadata_1,0.3397,NA
4,2,2.9672590000000003,53.069,53.5,1.4,0.354966,0.9942980000000001,1.403907,efficientdet_lite2_detection_metadata_1,0.3397,NA
5,2,3.3297130000000004,55.991,56.0,69.9,0.362454,0.9942980000000001,1.403907,efficientdet_lite2_detection_metadata_1,0.3397,NA
6,3,4.379137000000001,52.582,53.5,1.7,0.362454,0.9942980000000001,1.411878,efficientdet_lite2_detection_metadata_1,0.33969999999999995,NA
7,3,4.741349000000001,56.478,55.0,72.7,0.362212,0.9942980000000001,1.411878,efficientdet_lite2_detection_metadata_1,0.33969999999999995,NA
8,4,5.792590000000002,53.069,53.5,2.7,0.362212,0.9942980000000001,1.413453,efficientdet_lite2_detection_metadata_1,0.3397,NA
9,4,6.141657000000002,55.017,55.0,71.3,0.349067,0.9942980000000001,1.413453,efficientdet_lite2_detection_metadata_1,0.3397,NA
10,5,7.190952000000003,54.53,54.5,14.7,0.349067,0.9942980000000001,1.398362,efficientdet_lite2_detection_metadata_1,0.3397,NA
11,5,7.712012000000003,55.504,56.4,73.0,0.52106,0.9942980000000001,1.398362,efficientdet_lite2_detection_metadata_1,0.3397,NA
12,6,8.761122000000002,55.017,54.0,1.4,0.52106,0.9942980000000001,1.57017,efficientdet_lite2_detection_metadata_1,0.3397,NA
13,6,9.110861000000002,57.452,56.9,71.4,0.349739,0.9942980000000001,1.57017,efficientdet_lite2_detection_metadata_1,0.3397,NA
14,7,10.159847000000003,55.017,54.0,1.4,0.349739,0.9942980000000001,1.398725,efficientdet_lite2_detection_metadata_1,0.3397,NA
15,7,10.510632000000003,57.452,57.4,70.4,0.350785,0.9942980000000001,1.398725,efficientdet_lite2_detection_metadata_1,0.3397,NA
16,8,11.561626000000002,54.53,54.0,2.3,0.350785,0.9942980000000001,1.401779,efficientdet_lite2_detection_metadata_1,0.3397,NA
17,8,11.936079000000003,56.478,56.0,70.8,0.374453,0.9942980000000001,1.401779,efficientdet_lite2_detection_metadata_1,0.3397,NA
18,9,12.984949000000002,55.504,56.0,1.2,0.374453,0.9942980000000001,1.423323,efficientdet_lite2_detection_metadata_1,0.3397,NA
19,9,13.334490000000002,57.452,56.0,71.4,0.349541,0.9942980000000001,1.423323,efficientdet_lite2_detection_metadata_1,0.3397,NA
20,10,14.383594000000002,54.53,54.5,1.2,0.349541,0.9942980000000001,1.398645,efficientdet_lite2_detection_metadata_1,0.3397,NA
21,10,14.734922000000003,56.965,55.5,71.3,0.351328,0.9942980000000001,1.398645,efficientdet_lite2_detection_metadata_1,0.3397,NA
22,11,15.784008000000002,54.043,55.5,1.7,0.351328,0.9942980000000001,1.400414,efficientdet_lite2_detection_metadata_1,0.3397,NA
23,11,16.133373000000002,57.939,56.4,71.3,0.349365,0.9942980000000001,1.400414,efficientdet_lite2_detection_metadata_1,0.3397,NA
24,12,17.184646000000004,55.017,54.0,2.1,0.349365,0.9942980000000001,1.400638,efficientdet_lite2_detection_metadata_1,0.3397,NA
25,12,17.549056000000004,56.965,56.4,69.5,0.36441,0.9942980000000001,1.400638,efficientdet_lite2_detection_metadata_1,0.3397,NA
26,13,18.598262000000005,55.017,55.0,1.4,0.36441,0.9942980000000001,1.413616,efficientdet_lite2_detection_metadata_1,0.3397,NA
27,13,18.946804000000004,57.452,56.4,71.0,0.348542,0.9942980000000001,1.413616,efficientdet_lite2_detection_metadata_1,0.3397,NA
28,14,19.995971000000004,54.53,56.0,1.4,0.348542,0.9942980000000001,1.397709,efficientdet_lite2_detection_metadata_1,0.3397,NA
29,14,20.344554000000006,56.965,56.4,71.2,0.348583,0.9942980000000001,1.397709,efficientdet_lite2_detection_metadata_1,0.3397,NA
30,15,21.393501000000004,55.991,55.0,1.4,0.348583,0.9942980000000001,1.39753,efficientdet_lite2_detection_metadata_1,0.3397,NA
31,15,21.742474000000005,56.965,56.9,71.1,0.348973,0.9942980000000001,1.39753,efficientdet_lite2_detection_metadata_1,0.3397,NA
32,16,22.793870000000005,54.043,55.0,2.3,0.348973,0.9942980000000001,1.400369,efficientdet_lite2_detection_metadata_1,0.3397,NA
