,iterator_record,time_record,temp_record_CPU,temp_record_GPU,cpu_record,processing_duration_record,pause_duration_record,loop_duration_record,net_record,avg_accuracy_record,action_record
0,0,0.0,52.0,49.5,0.0,0.0,0.0,0.0,efficientdet_lite4_detection_metadata_2,0.4196,NA
1,0,1.364425,52.0,49.5,20.6,1.364425,0.0,0.0,efficientdet_lite4_detection_metadata_2,0.4196,NA
2,1,1.3668669999999998,52.0,49.5,0.0,1.364425,0.0,1.366867,efficientdet_lite4_detection_metadata_2,0.4196,NA
3,1,2.7192549999999995,52.0,50.0,86.2,1.352388,0.0,1.366867,efficientdet_lite4_detection_metadata_2,0.4196,NA
4,2,2.721664,52.0,50.0,50.0,1.352388,0.0,1.354797,efficientdet_lite4_detection_metadata_2,0.4196,NA
5,2,4.080888,52.5,49.5,85.8,1.359224,0.0,1.354797,efficientdet_lite4_detection_metadata_2,0.4196,NA
6,3,4.083341,52.5,49.5,0.0,1.359224,0.0,1.361677,efficientdet_lite4_detection_metadata_2,0.4196,NA
7,3,5.440025,52.5,50.0,86.1,1.356684,0.0,1.361677,efficientdet_lite4_detection_metadata_2,0.4196,NA
8,4,5.442525,52.5,50.0,0.0,1.356684,0.0,1.359184,efficientdet_lite4_detection_metadata_2,0.4196,NA
9,4,6.804735,52.5,50.0,86.0,1.36221,0.0,1.359184,efficientdet_lite4_detection_metadata_2,0.4196,NA
10,5,6.807229,52.5,50.0,50.0,1.36221,0.0,1.364704,efficientdet_lite4_detection_metadata_2,0.4196,NA
11,5,8.164587000000001,52.0,49.5,86.0,1.357358,0.0,1.364704,efficientdet_lite4_detection_metadata_2,0.4196,NA
12,6,8.167202000000001,52.0,49.5,50.0,1.357358,0.0,1.359973,efficientdet_lite4_detection_metadata_2,0.4196,NA
13,6,9.539650000000002,52.5,50.0,85.5,1.372448,0.0,1.359973,efficientdet_lite4_detection_metadata_2,0.4196,NA
14,7,9.542107000000001,52.5,50.0,0.0,1.372448,0.0,1.374905,efficientdet_lite4_detection_metadata_2,0.4196,NA
15,7,10.893347000000002,52.5,50.0,86.2,1.35124,0.0,1.374905,efficientdet_lite4_detection_metadata_2,0.4196,NA
16,8,10.895833000000001,52.5,50.0,0.0,1.35124,0.0,1.353726,efficientdet_lite4_detection_metadata_2,0.4196,NA
17,8,12.250618000000001,52.5,50.5,85.9,1.354785,0.0,1.353726,efficientdet_lite4_detection_metadata_2,0.4196,NA
18,9,12.253155000000001,52.5,50.5,0.0,1.354785,0.0,1.357322,efficientdet_lite4_detection_metadata_2,0.4196,NA
19,9,13.626773000000002,54.0,50.5,85.5,1.373618,0.0,1.357322,efficientdet_lite4_detection_metadata_2,0.4196,NA
20,10,13.629316000000001,54.0,50.5,0.0,1.373618,0.0,1.376161,efficientdet_lite4_detection_metadata_2,0.4196,NA
21,10,14.986476000000001,53.5,50.5,85.8,1.35716,0.0,1.376161,efficientdet_lite4_detection_metadata_2,0.4196,NA
22,11,14.988996,53.5,50.5,100.0,1.35716,0.0,1.35968,efficientdet_lite4_detection_metadata_2,0.4196,NA
23,11,16.340647,52.0,50.5,86.1,1.351651,0.0,1.35968,efficientdet_lite4_detection_metadata_2,0.4196,NA
24,12,16.34317,52.0,50.5,0.0,1.351651,0.0,1.354174,efficientdet_lite4_detection_metadata_2,0.4196,NA
25,12,17.706986,52.0,50.5,85.7,1.363816,0.0,1.354174,efficientdet_lite4_detection_metadata_2,0.4196,NA
26,13,17.709463,52.0,50.5,0.0,1.363816,0.0,1.366293,efficientdet_lite4_detection_metadata_2,0.4196,NA
27,13,19.065881,53.0,50.5,86.0,1.356418,0.0,1.366293,efficientdet_lite4_detection_metadata_2,0.4196,NA
28,14,19.068338,53.0,50.5,0.0,1.356418,0.0,1.358875,efficientdet_lite4_detection_metadata_2,0.4196,NA
29,14,20.418832000000002,53.0,50.5,86.2,1.350494,0.0,1.358875,efficientdet_lite4_detection_metadata_2,0.4196,NA
30,15,20.421362000000002,53.0,50.5,0.0,1.350494,0.0,1.353024,efficientdet_lite4_detection_metadata_2,0.4196,NA
